epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.71073,2.34202,3.16587,0.00492498,0.0086203,1.64571,0,0,0,0,0.425432,2.63549,1.29627,0.0001,1e-05
2,6.84645,0.479956,2.34462,0.00458617,0.00784813,1.20358,0,0,0,0,0.247862,1.88247,0.928465,0.0001,1e-05
3,10.0524,0.237807,1.69626,0.00424805,0.0072113,0.786813,0.00127668,0.000305291,0.00127668,0.09375,0.174254,1.11651,0.60003,0.0001,1e-05
4,13.2319,0.174061,1.02485,0.00407323,0.00668958,0.595198,0.00305246,0.00110176,0.00305246,0.15625,0.186761,0.591705,0.573203,0.0001,1e-05
5,16.5251,0.161352,0.636694,0.00375286,0.0060489,0.516596,0.00501652,0.0019059,0.00501652,0.203125,0.13427,0.448933,0.47543,0.0001,1e-05
6,19.8352,0.14617,0.464903,0.00354105,0.00555174,0.490632,0.00985907,0.00382953,0.00985907,0.24375,0.127965,0.354972,0.433654,0.0001,1e-05
7,23.1502,0.153925,0.347276,0.00329649,0.00500144,0.45754,0.0064091,0.00284259,0.0064091,0.25625,0.120061,0.337432,0.440959,0.0001,1e-05
8,26.3916,0.181195,0.350748,0.0030979,0.00451915,0.491632,0.00666892,0.00225059,0.00666892,0.228125,0.103126,0.332367,0.367336,0.0001,1e-05
9,29.5643,0.118832,0.328704,0.00299245,0.00421018,0.387434,0.0099415,0.00503069,0.0099415,0.348875,0.13918,0.319363,0.474012,0.0001,1e-05
10,32.8087,0.0935571,0.317832,0.00283933,0.00382973,0.336786,0.00964101,0.00408864,0.00964101,0.392375,0.103009,0.314033,0.366836,0.0001,1e-05
11,36.0069,0.103424,0.310756,0.00266816,0.00349416,0.36579,0.0125562,0.0065563,0.0125562,0.47725,0.0994034,0.30228,0.364179,0.0001,1e-05
12,39.3393,0.100792,0.291736,0.0025925,0.00330012,0.377893,0.0116526,0.00600186,0.0116526,0.4865,0.0838645,0.292799,0.327911,0.0001,1e-05
13,42.6502,0.122801,0.281541,0.00244225,0.00306162,0.376246,0.00916206,0.00484706,0.00916206,0.427,0.100205,0.288666,0.363972,0.0001,1e-05
14,45.9342,0.0869273,0.285171,0.00236385,0.00292669,0.319605,0.0112372,0.00653047,0.0112372,0.464125,0.0823427,0.27926,0.309355,0.0001,1e-05
15,49.1916,0.0881246,0.274904,0.00242208,0.00294569,0.336247,0.0103869,0.00658627,0.0103869,0.50525,0.0747757,0.270356,0.281301,0.0001,1e-05
