epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,5.66378,1.52145,1.43442,1.39059,0.0128519,0.00299048,0.0128519,0.194,0.238495,0.764519,0.851002,0.0001,1e-05
2,10.491,0.211799,0.568183,0.694891,0.0125913,0.00626736,0.0125913,0.278,0.162973,0.38941,0.59502,0.0001,1e-05
3,15.3135,0.152304,0.382409,0.479037,0.00596538,0.00307291,0.00596538,0.35,0.09034,0.394662,0.318577,0.0001,1e-05
4,20.4974,0.100567,0.362815,0.352996,0.00677891,0.00377765,0.00677891,0.364,0.0890959,0.323143,0.32364,0.0001,1e-05
5,25.7124,0.113056,0.315884,0.380534,0.012947,0.00460726,0.012947,0.284,0.110678,0.303149,0.434424,0.0001,1e-05
6,30.9085,0.0796638,0.298022,0.296432,0.0281166,0.0119791,0.0281166,0.356,0.0750312,0.287391,0.259878,0.0001,1e-05
7,36.0483,0.0746024,0.283924,0.284033,0.0188798,0.00874619,0.0188798,0.336,0.0758739,0.280016,0.308835,0.0001,1e-05
8,41.1917,0.0779394,0.269512,0.263279,0.0342792,0.0110207,0.0342792,0.364,0.0615389,0.271372,0.231376,0.0001,1e-05
9,46.2292,0.0693323,0.266926,0.262273,0.0362366,0.0206168,0.0362366,0.44,0.0446243,0.257275,0.186976,0.0001,1e-05
10,51.439,0.0627023,0.253448,0.241615,0.0544614,0.0268187,0.0544614,0.404,0.0570887,0.248968,0.234462,0.0001,1e-05
11,56.5639,0.0966902,0.248638,0.257885,0.0587344,0.0359254,0.0587344,0.50675,0.0556613,0.245416,0.239047,0.0001,1e-05
12,61.5423,0.0632043,0.245584,0.232928,0.0627012,0.0422269,0.0627012,0.5845,0.0481184,0.241891,0.204057,0.0001,1e-05
13,66.4533,0.0674417,0.244311,0.239366,0.0201832,0.0146824,0.0201832,0.657375,0.0367392,0.242594,0.166083,0.0001,1e-05
14,71.5121,0.0569757,0.243857,0.229311,0.0405209,0.013943,0.0405209,0.519875,0.0640063,0.240311,0.273299,0.0001,1e-05
15,76.6637,0.059139,0.24079,0.230216,0.0477181,0.0326773,0.0477181,0.721,0.0513348,0.239072,0.246546,0.0001,1e-05
16,81.6787,0.0531665,0.236902,0.207578,0.0752578,0.0407235,0.0752578,0.845125,0.0439245,0.234002,0.180885,0.0001,1e-05
17,86.8794,0.0630739,0.235807,0.226163,0.0512058,0.0262593,0.0512058,0.714125,0.0571125,0.233191,0.253185,0.0001,1e-05
18,92.1736,0.0672232,0.233604,0.235493,0.0619228,0.0421272,0.0619228,0.800125,0.0492822,0.231318,0.197372,0.0001,1e-05
19,97.4788,0.0692747,0.231623,0.264159,0.0423324,0.0273677,0.0423324,0.85625,0.0373139,0.224431,0.170428,0.0001,1e-05
20,102.651,0.0590564,0.224897,0.22009,0.0685035,0.0407997,0.0685035,0.795,0.0450092,0.220242,0.198653,0.0001,1e-05
