epoch,time,train/loss_bbox,train/loss_ce,train/loss_contrastive,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,5.25218,1.83925,1.99263,0.0228786,1.49548,0.0293436,0.00971812,0.0293436,0.236,0.183293,1.94418,0.627893,0.0001,1e-05
2,9.96955,0.231544,1.38651,0.0213119,0.665888,0.0306185,0.0124957,0.0306185,0.262,0.165027,0.96713,0.536037,0.0001,1e-05
3,14.5023,0.191641,0.668371,0.0211291,0.59993,0.0155872,0.00628149,0.0155872,0.216,0.218718,0.468673,0.606865,0.0001,1e-05
4,19.1476,0.194199,0.436788,0.0180328,0.635646,0.0145164,0.00609013,0.0145164,0.234,0.166263,0.389839,0.532549,0.0001,1e-05
5,23.3208,0.138161,0.371851,0.0177084,0.483371,0.00806002,0.00396617,0.00806002,0.292,0.116467,0.348691,0.37989,0.0001,1e-05
6,27.8593,0.114987,0.332487,0.0171294,0.382892,0.0108066,0.00735952,0.0108066,0.356,0.0924398,0.311943,0.337808,0.0001,1e-05
7,32.6402,0.145869,0.29962,0.0150757,0.464607,0.0138697,0.00796817,0.0138697,0.3,0.142625,0.293764,0.492492,0.0001,1e-05
8,37.2019,0.134594,0.279069,0.0130225,0.518694,0.0198397,0.0102417,0.0198397,0.354,0.0974319,0.288703,0.347442,0.0001,1e-05
9,41.9887,0.0945626,0.275419,0.0132161,0.347226,0.0380658,0.0191251,0.0380658,0.36,0.0854676,0.281698,0.286532,0.0001,1e-05
10,46.6251,0.0937845,0.271433,0.0132949,0.346453,0.0400458,0.0223265,0.0400458,0.384,0.079284,0.272276,0.293961,0.0001,1e-05
11,50.8049,0.0996416,0.259918,0.0116621,0.351448,0.0429749,0.0262856,0.0429749,0.392,0.0758634,0.270065,0.327192,0.0001,1e-05
12,55.2813,0.0759273,0.264641,0.00933972,0.295231,0.0502041,0.0291002,0.0502041,0.398,0.0668362,0.255605,0.247857,0.0001,1e-05
13,81.7505,0.0750096,0.243484,0.0090214,0.289773,0.0554992,0.0353948,0.0554992,0.408,0.0666134,0.249862,0.245272,0.0001,1e-05
14,85.8199,0.0770806,0.249717,0.00914346,0.295564,0.0721829,0.0427551,0.0721829,0.408,0.0556388,0.257993,0.237318,0.0001,1e-05
15,90.1155,0.0772732,0.255129,0.00854706,0.266714,0.0658493,0.0298112,0.0658493,0.378,0.0770453,0.257646,0.262434,0.0001,1e-05
16,94.9801,0.0822298,0.245807,0.00822778,0.296816,0.058976,0.0372978,0.058976,0.394,0.0746708,0.252017,0.267015,0.0001,1e-05
17,99.6404,0.0753646,0.248219,0.00794052,0.275833,0.048909,0.0270906,0.048909,0.384,0.0801741,0.250851,0.280209,0.0001,1e-05
18,104.394,0.0637398,0.246477,0.00680665,0.240681,0.0493017,0.0309192,0.0493017,0.394,0.0673444,0.252541,0.249814,0.0001,1e-05
