epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.84673,2.01137,1.79241,1.54999,0.00922647,0.00375814,0.00922647,0.198,0.297723,1.40185,0.862858,0.0001,1e-05
2,7.19205,0.236233,1.05403,0.794999,0.00455881,0.00160471,0.00455881,0.188,0.160408,0.932056,0.599656,0.0001,1e-05
3,10.3975,0.176696,0.773013,0.529969,0.0180101,0.0101925,0.0180101,0.142,0.256782,0.490921,0.743164,0.0001,1e-05
4,13.8102,0.223487,0.443041,0.650309,0.0239262,0.0115696,0.0239262,0.262,0.166074,0.406009,0.571274,0.0001,1e-05
5,17.3789,0.191696,0.404009,0.573628,0.00815939,0.00337895,0.00815939,0.25,0.133374,0.382819,0.455096,0.0001,1e-05
6,20.7271,0.141976,0.368144,0.42917,0.0122092,0.00615111,0.0122092,0.334,0.11241,0.337595,0.397896,0.0001,1e-05
7,24.2184,0.149312,0.33522,0.50312,0.0122561,0.00591247,0.0122561,0.326,0.116072,0.328284,0.43506,0.0001,1e-05
8,27.5223,0.118364,0.321103,0.42161,0.0133686,0.00573458,0.0133686,0.32,0.103923,0.312805,0.373566,0.0001,1e-05
9,30.8641,0.0950456,0.312817,0.361473,0.0175491,0.00731599,0.0175491,0.34,0.0980004,0.29946,0.375535,0.0001,1e-05
10,34.2759,0.132534,0.292795,0.394031,0.0474492,0.0163069,0.0474492,0.372,0.0915181,0.286805,0.343157,0.0001,1e-05
11,37.7425,0.0873001,0.281311,0.302893,0.0453741,0.0155185,0.0453741,0.388,0.0831052,0.280937,0.322205,0.0001,1e-05
12,41.0023,0.0854981,0.282557,0.315568,0.0527659,0.0215589,0.0527659,0.368,0.0860116,0.278705,0.313079,0.0001,1e-05
13,44.531,0.0726637,0.273282,0.29311,0.0820357,0.0321991,0.0820357,0.408,0.0650166,0.273857,0.243495,0.0001,1e-05
14,47.8349,0.0739417,0.267891,0.277357,0.0832116,0.0357002,0.0832116,0.412,0.059793,0.270618,0.235781,0.0001,1e-05
15,51.2641,0.0614258,0.27259,0.246815,0.0952102,0.0354753,0.0952102,0.38225,0.0684054,0.267148,0.270213,0.0001,1e-05
16,54.5464,0.0677674,0.264308,0.26645,0.0885712,0.0328332,0.0885712,0.35,0.0832737,0.256889,0.380628,0.0001,1e-05
17,57.9163,0.0666951,0.258679,0.275951,0.101367,0.0470142,0.101367,0.39,0.0714333,0.253169,0.274576,0.0001,1e-05
18,61.4402,0.0594537,0.254775,0.217803,0.0995583,0.0434808,0.0995583,0.392,0.0803142,0.254432,0.313556,0.0001,1e-05
19,64.9536,0.118049,0.253785,0.339142,0.101592,0.0462518,0.101592,0.39,0.0891723,0.24779,0.35097,0.0001,1e-05
20,68.4145,0.0662586,0.251353,0.242099,0.102012,0.0465068,0.102012,0.372,0.0789037,0.244309,0.286776,0.0001,1e-05
21,71.8566,0.0603552,0.239751,0.226384,0.101754,0.0494475,0.101754,0.428,0.0571506,0.240137,0.218536,0.0001,1e-05
22,75.2982,0.0509119,0.235573,0.213259,0.0697933,0.0358815,0.0697933,0.41,0.0469064,0.238529,0.195131,0.0001,1e-05
23,78.8615,0.0524393,0.238006,0.208491,0.0937461,0.0373936,0.0937461,0.414,0.0516214,0.239959,0.213555,0.0001,1e-05
24,82.3334,0.0599505,0.23068,0.214942,0.0938289,0.0462616,0.0938289,0.421125,0.0567597,0.238921,0.223095,0.0001,1e-05
25,85.8537,0.0560188,0.242225,0.204256,0.0730218,0.03342,0.0730218,0.389625,0.0662157,0.24343,0.261901,0.0001,1e-05
26,89.1753,0.0582548,0.242736,0.224181,0.0589493,0.0286373,0.0589493,0.492625,0.0499101,0.239854,0.196886,0.0001,1e-05
27,92.6128,0.0573234,0.234162,0.220481,0.0599855,0.0273893,0.0599855,0.622125,0.0605816,0.238372,0.242804,0.0001,1e-05
28,96.0815,0.0442684,0.237271,0.173214,0.0468015,0.0261723,0.0468015,0.795875,0.0461077,0.236417,0.185648,0.0001,1e-05
29,99.3801,0.0479758,0.23599,0.180117,0.0563045,0.0330384,0.0563045,0.827125,0.0477709,0.235833,0.196943,0.0001,1e-05
30,102.738,0.0480579,0.236659,0.185763,0.0809951,0.0417664,0.0809951,0.783625,0.0619075,0.235707,0.22594,0.0001,1e-05
31,106.29,0.0546701,0.236711,0.204857,0.0875143,0.0473833,0.0875143,0.791375,0.0593833,0.232957,0.220373,0.0001,1e-05
32,109.668,0.0528214,0.235733,0.193122,0.089002,0.0562704,0.089002,0.818125,0.0494659,0.232813,0.193159,0.0001,1e-05
33,113.204,0.0442114,0.231364,0.179939,0.0736346,0.0383143,0.0736346,0.75625,0.0523978,0.232514,0.212875,0.0001,1e-05
34,116.569,0.0563184,0.229662,0.189657,0.113571,0.0649956,0.113571,0.80725,0.055003,0.230033,0.204045,0.0001,1e-05
35,119.882,0.0506296,0.229096,0.18918,0.0751462,0.0535592,0.0751462,0.82525,0.0460142,0.230092,0.181968,0.0001,1e-05
36,123.338,0.050359,0.234378,0.182855,0.0950801,0.0609504,0.0950801,0.667,0.0615408,0.230204,0.270343,0.0001,1e-05
37,126.656,0.0555542,0.22834,0.206265,0.110061,0.0728953,0.110061,0.7425,0.0478219,0.228325,0.217403,0.0001,1e-05
38,130.17,0.045451,0.228819,0.183342,0.109124,0.0658181,0.109124,0.750375,0.0552432,0.223017,0.219334,0.0001,1e-05
39,133.505,0.0501144,0.226447,0.198061,0.111099,0.0751517,0.111099,0.755875,0.0502885,0.219931,0.213494,0.0001,1e-05
40,137.073,0.0502967,0.219425,0.200519,0.126903,0.0749689,0.126903,0.63675,0.063489,0.21445,0.247317,0.0001,1e-05
41,140.522,0.0651208,0.220454,0.247995,0.1345,0.0657149,0.1345,0.644,0.0788353,0.21107,0.312836,0.0001,1e-05
42,143.987,0.0609009,0.215374,0.250317,0.155917,0.0852796,0.155917,0.717125,0.0657983,0.211513,0.256686,0.0001,1e-05
