epoch,time,train/loss_bbox,train/loss_ce,train/loss_contrastive,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,4.60123,1.79985,2.00611,0.030463,1.47607,0.0265633,0.014087,0.0265633,0.134,0.244359,2.11163,0.72699,0.0001,1e-05
2,8.63562,0.257674,1.51845,0.0282117,0.686087,0.0290831,0.00726984,0.0290831,0.27,0.13334,0.970134,0.441572,0.0001,1e-05
3,12.5643,0.176163,0.704638,0.0275308,0.572879,0.0314748,0.00732309,0.0314748,0.164,0.279426,0.45724,0.879397,0.0001,1e-05
4,16.579,0.214999,0.441456,0.0229424,0.673421,0.0156356,0.00514124,0.0156356,0.126,0.223404,0.399604,0.689185,0.0001,1e-05
5,20.5785,0.173963,0.380291,0.0226444,0.536377,0.0224421,0.0132243,0.0224421,0.298,0.116394,0.342801,0.432327,0.0001,1e-05
6,24.5724,0.130295,0.335299,0.0218538,0.429337,0.0101144,0.00551422,0.0101144,0.34,0.115721,0.320471,0.401412,0.0001,1e-05
7,48.1946,0.105952,0.320075,0.0193683,0.356514,0.00775409,0.00431712,0.00775409,0.342,0.103371,0.314451,0.373745,0.0001,1e-05
8,52.1406,0.102483,0.305809,0.0165666,0.378626,0.00947367,0.00409884,0.00947367,0.274,0.143241,0.303004,0.465713,0.0001,1e-05
9,56.2993,0.0942401,0.298662,0.0169291,0.344633,0.0181684,0.00843631,0.0181684,0.356,0.0904243,0.297036,0.317192,0.0001,1e-05
10,60.292,0.0868871,0.288055,0.0169982,0.304513,0.0188544,0.0075506,0.0188544,0.326,0.0828177,0.293066,0.315104,0.0001,1e-05
11,64.3312,0.0674754,0.285091,0.0145604,0.266394,0.0372493,0.0158655,0.0372493,0.362,0.0781945,0.291619,0.290597,0.0001,1e-05
12,68.2397,0.0717079,0.285575,0.0117361,0.253304,0.0473787,0.02771,0.0473787,0.366,0.0831457,0.286425,0.283674,0.0001,1e-05
13,72.334,0.0818081,0.275272,0.0110278,0.287526,0.0138175,0.0064354,0.0138175,0.328,0.101765,0.285482,0.388155,0.0001,1e-05
14,76.2853,0.085715,0.277127,0.0115227,0.335659,0.0265567,0.0134886,0.0265567,0.354,0.0785664,0.279157,0.282126,0.0001,1e-05
15,80.3181,0.0764469,0.275191,0.0105063,0.27177,0.0272823,0.0147573,0.0272823,0.352,0.0825072,0.273472,0.286318,0.0001,1e-05
16,108.26,0.0677947,0.266605,0.00970605,0.241634,0.0192511,0.00879216,0.0192511,0.272,0.0984782,0.2707,0.325719,0.0001,1e-05
17,112.246,0.0795306,0.268562,0.00929724,0.31127,0.0907852,0.0459373,0.0907852,0.315625,0.077545,0.263656,0.318577,0.0001,1e-05
18,116.377,0.0823115,0.267701,0.0080679,0.302213,0.0428276,0.0234427,0.0428276,0.36325,0.0718962,0.260292,0.284737,0.0001,1e-05
19,120.438,0.0820576,0.266421,0.00757255,0.329131,0.0553789,0.0287733,0.0553789,0.36,0.0652491,0.256907,0.248868,0.0001,1e-05
20,124.629,0.0843326,0.25589,0.0073792,0.27459,0.0601745,0.040282,0.0601745,0.366,0.0756462,0.253205,0.279978,0.0001,1e-05
21,128.575,0.0717568,0.243857,0.00693881,0.248469,0.0648523,0.0408978,0.0648523,0.366,0.0713783,0.246234,0.296983,0.0001,1e-05
22,132.769,0.103887,0.249641,0.00544624,0.314477,0.0781432,0.0459437,0.0781432,0.384,0.0567819,0.241687,0.220792,0.0001,1e-05
23,136.753,0.0551429,0.241576,0.00608832,0.210979,0.127775,0.0626935,0.127775,0.4,0.0553807,0.238284,0.218453,0.0001,1e-05
24,140.918,0.0551103,0.243087,0.00589769,0.206756,0.130802,0.0691412,0.130802,0.427375,0.0521138,0.240309,0.200871,0.0001,1e-05
25,169.799,0.067801,0.247415,0.0070134,0.24494,0.0990609,0.0654294,0.0990609,0.487125,0.0486522,0.240166,0.204869,0.0001,1e-05
26,174.058,0.0444529,0.242198,0.00460718,0.188983,0.0768234,0.0390625,0.0768234,0.56425,0.0444573,0.237913,0.197824,0.0001,1e-05
27,178.004,0.0626468,0.237096,0.0041706,0.235712,0.0790754,0.0439969,0.0790754,0.73775,0.0523495,0.235292,0.229018,0.0001,1e-05
28,182.423,0.0578648,0.23938,0.00482534,0.204813,0.0792004,0.0444534,0.0792004,0.810125,0.0445536,0.23761,0.18029,0.0001,1e-05
29,186.465,0.0478675,0.237633,0.0047264,0.185334,0.0653514,0.0415589,0.0653514,0.7875,0.0629445,0.239029,0.219807,0.0001,1e-05
30,190.548,0.0934161,0.23897,0.00456531,0.262639,0.0730328,0.044386,0.0730328,0.806125,0.0489275,0.236667,0.190933,0.0001,1e-05
