experiment_name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
train_npp_l2d0.02_l1d0.02_mask0.1_fpn15_18_21,275,6489.76,0.61165,0.40364,0.95273,0.98462,0.98471,0.995,0.87463,0.58524,0.34297,0.96491,0.000536524,0.000536524,0.000536524
train_npp_l2d0.02_l1d0.02_mask0.2_fpn15_18_21,390,9202.76,0.48857,0.32507,0.89185,0.97113,1,0.99346,0.86763,0.58237,0.29108,0.95949,6.20541e-05,6.20541e-05,6.20541e-05
train_npp_l2d0.02_l1d0.02_mask0.3_fpn15_18_21,384,9065.85,0.50071,0.32768,0.91371,0.96792,1,0.99346,0.87762,0.5909,0.3008,0.95534,8.6809e-05,8.6809e-05,8.6809e-05
train_npp_l2d0.02_l1d0.04_mask0.1_fpn15_18_21,321,7594.66,0.54567,0.35934,0.93319,0.96871,1,0.99346,0.8755,0.60037,0.30758,0.96899,0.000346736,0.000346736,0.000346736
train_npp_l2d0.02_l1d0.04_mask0.2_fpn15_18_21,340,8034.24,0.54464,0.33516,0.94455,0.97075,1,0.99346,0.86972,0.61061,0.30499,0.96705,0.000268345,0.000268345,0.000268345
train_npp_l2d0.02_l1d0.04_mask0.3_fpn15_18_21,186,4402.14,0.77639,0.52503,1.00536,0.99453,0.99797,0.995,0.86772,0.65917,0.37597,0.99695,0.000903722,0.000903722,0.000903722
train_npp_l2d0.02_l1d0.06_mask0.1_fpn15_18_21,236,5578.34,0.66749,0.44515,0.97517,0.9921,0.99742,0.995,0.8688,0.61333,0.32908,0.98146,0.000697431,0.000697431,0.000697431
train_npp_l2d0.02_l1d0.06_mask0.2_fpn15_18_21,346,8167.32,0.57584,0.36166,0.92205,0.99215,0.99756,0.995,0.87104,0.61655,0.29199,0.96355,0.00024359,0.00024359,0.00024359
train_npp_l2d0.02_l1d0.06_mask0.3_fpn15_18_21,207,4894.38,0.72773,0.47108,0.97505,0.97969,1,0.995,0.86714,0.63812,0.3795,0.98152,0.00081708,0.00081708,0.00081708
train_npp_l2d0.02_l1d0.08_mask0.1_fpn15_18_21,311,7344.47,0.54586,0.36682,0.94738,0.99457,0.98,0.99423,0.86898,0.59378,0.32878,0.95543,0.000387994,0.000387994,0.000387994
train_npp_l2d0.02_l1d0.08_mask0.2_fpn15_18_21,294,6949.22,0.58448,0.3908,0.92512,0.99792,0.9708,0.99423,0.88006,0.63037,0.33782,0.97396,0.000458133,0.000458133,0.000458133
train_npp_l2d0.02_l1d0.08_mask0.3_fpn15_18_21,340,8041.2,0.55868,0.347,0.95393,0.97226,1,0.99423,0.87859,0.60038,0.30649,0.95983,0.000268345,0.000268345,0.000268345
train_npp_l2d0.02_l1d0.0_mask0.1_fpn15_18_21,246,5808.88,0.62633,0.39638,0.92374,0.99258,1,0.995,0.87307,0.62599,0.34395,0.98442,0.000656173,0.000656173,0.000656173
train_npp_l2d0.02_l1d0.0_mask0.2_fpn15_18_21,327,7717.26,0.5822,0.40097,0.93315,0.96504,0.99858,0.99346,0.87603,0.57907,0.31115,0.95473,0.000321981,0.000321981,0.000321981
train_npp_l2d0.02_l1d0.0_mask0.3_fpn15_18_21,321,7587.96,0.52901,0.36846,0.92571,0.96379,0.99803,0.99346,0.86726,0.62266,0.3161,0.97502,0.000346736,0.000346736,0.000346736
train_npp_l2d0.04_l1d0.02_mask0.1_fpn15_18_21,346,8153.45,0.56646,0.36838,0.92408,0.98942,1,0.995,0.86826,0.63475,0.30951,0.98091,0.00024359,0.00024359,0.00024359
train_npp_l2d0.04_l1d0.02_mask0.2_fpn15_18_21,375,8854.47,0.49356,0.3179,0.89552,0.97225,1,0.99346,0.87403,0.60302,0.2955,0.96694,0.000123941,0.000123941,0.000123941
