version,experiment_type,dataset_ratio,alpha,beta,precision,recall,mAP50,mAP50-95
v11_diff,diff,10,0.0,0.5,0.9607,0.27273,0.55976,0.37277
v11_diff,diff,10,0.0,2.0,0.9607,0.27273,0.55976,0.37277
v11_diff,diff,10,0.5,1.0,0.9607,0.27273,0.55976,0.37277
v11_diff,diff,25,0.0,0.5,0.77746,0.77916,0.80677,0.47117
v11_diff,diff,25,0.0,2.0,0.56463,0.78302,0.74383,0.41228
v11_diff,diff,25,0.5,1.0,0.67537,0.74528,0.80499,0.45091
v11_diff,diff,50,0.0,0.5,0.75843,0.77761,0.80726,0.47724
v11_diff,diff,50,0.0,2.0,0.82001,0.88293,0.90318,0.58264
v11_diff,diff,50,0.5,1.0,0.87612,0.90452,0.93887,0.59297
v11_diff,diff,75,0.0,0.5,0.90851,0.85181,0.93553,0.63252
v11_diff,diff,75,0.0,2.0,0.94232,0.93718,0.97661,0.68112
v11_diff,diff,75,0.5,1.0,0.96252,0.89561,0.94691,0.64177
