version,mode,dataset_ratio,npp_lambda_2d,npp_lambda_1d,bbox_mask_weight,diff_alpha,diff_beta,npp_fpn_sources,data_yaml,project_dir,run_name,fitness,mAP50,mAP50-95,precision,recall,status,save_dir
v8,npp_only,10,0.0,0.04,0.3,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.0_l1d0.04_mask0.3_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.0_l1d0.04_mask0.3_fpn15_18_21
v8,npp_only,25,0.0,0.06,0.1,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.0_l1d0.06_mask0.1_fpn15_18_21,0.51112,0.84007,0.51112,0.83967,0.69289,success,runs/detect_25/train_npp_l2d0.0_l1d0.06_mask0.1_fpn15_18_21
v8,npp_only,10,0.0,0.06,0.1,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.0_l1d0.06_mask0.1_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.0_l1d0.06_mask0.1_fpn15_18_21
v8,npp_only,25,0.0,0.06,0.2,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.0_l1d0.06_mask0.2_fpn15_18_21,0.51546,0.89545,0.51546,0.78004,0.86407,success,runs/detect_25/train_npp_l2d0.0_l1d0.06_mask0.2_fpn15_18_21
v8,npp_only,10,0.0,0.06,0.2,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.0_l1d0.06_mask0.2_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.0_l1d0.06_mask0.2_fpn15_18_21
v8,npp_only,25,0.0,0.06,0.3,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.0_l1d0.06_mask0.3_fpn15_18_21,0.49905,0.8806,0.49905,0.76198,0.83962,success,runs/detect_25/train_npp_l2d0.0_l1d0.06_mask0.3_fpn15_18_21
v8,npp_only,10,0.0,0.06,0.3,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.0_l1d0.06_mask0.3_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.0_l1d0.06_mask0.3_fpn15_18_21
v8,npp_only,25,0.0,0.08,0.1,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.0_l1d0.08_mask0.1_fpn15_18_21,0.53299,0.86997,0.53299,0.84777,0.79803,success,runs/detect_25/train_npp_l2d0.0_l1d0.08_mask0.1_fpn15_18_21
v8,npp_only,10,0.0,0.08,0.1,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.0_l1d0.08_mask0.1_fpn15_18_21,0.04086,0.09099,0.04086,0.05889,0.47298,success,runs/detect_10/train_npp_l2d0.0_l1d0.08_mask0.1_fpn15_18_21
v8,npp_only,25,0.0,0.08,0.2,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.0_l1d0.08_mask0.2_fpn15_18_21,0.47615,0.83638,0.47615,0.73154,0.8452,success,runs/detect_25/train_npp_l2d0.0_l1d0.08_mask0.2_fpn15_18_21
v8,npp_only,10,0.0,0.08,0.2,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.0_l1d0.08_mask0.2_fpn15_18_21,0.04086,0.09099,0.04086,0.05889,0.47298,success,runs/detect_10/train_npp_l2d0.0_l1d0.08_mask0.2_fpn15_18_21
v8,npp_only,25,0.0,0.08,0.3,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.0_l1d0.08_mask0.3_fpn15_18_21,0.50839,0.8705,0.50839,0.84202,0.82307,success,runs/detect_25/train_npp_l2d0.0_l1d0.08_mask0.3_fpn15_18_21
v8,npp_only,10,0.0,0.08,0.3,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.0_l1d0.08_mask0.3_fpn15_18_21,0.04086,0.09099,0.04086,0.05889,0.47298,success,runs/detect_10/train_npp_l2d0.0_l1d0.08_mask0.3_fpn15_18_21
v8,npp_only,25,0.02,0.0,0.1,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.0_mask0.1_fpn15_18_21,0.45881,0.79316,0.45881,0.80579,0.78302,success,runs/detect_25/train_npp_l2d0.02_l1d0.0_mask0.1_fpn15_18_21
v8,npp_only,10,0.02,0.0,0.1,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.0_mask0.1_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.02_l1d0.0_mask0.1_fpn15_18_21
v8,npp_only,25,0.02,0.0,0.2,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.0_mask0.2_fpn15_18_21,0.45881,0.79316,0.45881,0.80579,0.78302,success,runs/detect_25/train_npp_l2d0.02_l1d0.0_mask0.2_fpn15_18_21
v8,npp_only,10,0.02,0.0,0.2,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.0_mask0.2_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.02_l1d0.0_mask0.2_fpn15_18_21
v8,npp_only,25,0.02,0.0,0.3,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.0_mask0.3_fpn15_18_21,0.46396,0.81363,0.46396,0.81648,0.79374,success,runs/detect_25/train_npp_l2d0.02_l1d0.0_mask0.3_fpn15_18_21
v8,npp_only,10,0.02,0.0,0.3,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.0_mask0.3_fpn15_18_21,0.0493,0.0846,0.0493,0.03629,0.45197,success,runs/detect_10/train_npp_l2d0.02_l1d0.0_mask0.3_fpn15_18_21
v8,npp_only,25,0.02,0.02,0.1,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.02_mask0.1_fpn15_18_21,0.47616,0.90709,0.47616,0.88095,0.86777,success,runs/detect_25/train_npp_l2d0.02_l1d0.02_mask0.1_fpn15_18_21
v8,npp_only,10,0.02,0.02,0.1,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.02_mask0.1_fpn15_18_21,0.05137,0.08866,0.05137,0.02462,0.58619,success,runs/detect_10/train_npp_l2d0.02_l1d0.02_mask0.1_fpn15_18_21
v8,npp_only,25,0.02,0.02,0.2,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.02_mask0.2_fpn15_18_21,0.46372,0.8619,0.46372,0.77919,0.84609,success,runs/detect_25/train_npp_l2d0.02_l1d0.02_mask0.2_fpn15_18_21
v8,npp_only,10,0.02,0.02,0.2,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.02_mask0.2_fpn15_18_21,0.05137,0.08866,0.05137,0.02462,0.58619,success,runs/detect_10/train_npp_l2d0.02_l1d0.02_mask0.2_fpn15_18_21
v8,npp_only,25,0.02,0.02,0.3,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.02_mask0.3_fpn15_18_21,0.4381,0.80621,0.4381,0.77912,0.76973,success,runs/detect_25/train_npp_l2d0.02_l1d0.02_mask0.3_fpn15_18_21
v8,npp_only,10,0.02,0.02,0.3,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.02_mask0.3_fpn15_18_21,0.05137,0.08866,0.05137,0.02462,0.58619,success,runs/detect_10/train_npp_l2d0.02_l1d0.02_mask0.3_fpn15_18_21
v8,npp_only,25,0.02,0.04,0.1,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.04_mask0.1_fpn15_18_21,0.38917,0.72833,0.38917,0.64829,0.81132,success,runs/detect_25/train_npp_l2d0.02_l1d0.04_mask0.1_fpn15_18_21
v8,npp_only,10,0.02,0.04,0.1,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.04_mask0.1_fpn15_18_21,0.05128,0.08834,0.05128,0.02475,0.57676,success,runs/detect_10/train_npp_l2d0.02_l1d0.04_mask0.1_fpn15_18_21
v8,npp_only,25,0.02,0.04,0.2,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.04_mask0.2_fpn15_18_21,0.51397,0.88323,0.51397,0.85766,0.85463,success,runs/detect_25/train_npp_l2d0.02_l1d0.04_mask0.2_fpn15_18_21
v8,npp_only,10,0.02,0.04,0.2,,,"15,18,21",./data/data_10.yaml,runs/detect_10,train_npp_l2d0.02_l1d0.04_mask0.2_fpn15_18_21,0.05128,0.08834,0.05128,0.02475,0.57676,success,runs/detect_10/train_npp_l2d0.02_l1d0.04_mask0.2_fpn15_18_21
v8,npp_only,25,0.02,0.04,0.3,,,"15,18,21",./data/data_25.yaml,runs/detect_25,train_npp_l2d0.02_l1d0.04_mask0.3_fpn15_18_21,0.53022,0.87653,0.53022,0.75116,0.83962,success,runs/detect_25/train_npp_l2d0.02_l1d0.04_mask0.3_fpn15_18_21
