version,experiment_type,dataset_ratio,alpha,beta,precision,recall,mAP50,mAP50-95
v8_diff,diff,10,0.1,0.0,0.53098,0.17489,0.26743,0.18077
v8_diff,diff,10,0.0,1.0,0.53098,0.17489,0.26743,0.18077
v8_diff,diff,10,0.3,1.5,0.53098,0.17489,0.26743,0.18077
v8_diff,diff,25,0.1,0.0,0.77632,0.85832,0.86126,0.51589
v8_diff,diff,25,0.0,1.0,0.87628,0.74951,0.86908,0.53464
v8_diff,diff,25,0.3,1.5,0.82922,0.82407,0.86813,0.52477
v8_diff,diff,50,0.1,0.0,0.89659,0.89549,0.94855,0.67545
v8_diff,diff,50,0.0,1.0,0.86727,0.9461,0.96795,0.68306
v8_diff,diff,50,0.3,1.5,0.96029,0.94758,0.97488,0.69039
v8_diff,diff,75,0.1,0.0,0.87869,0.87736,0.93068,0.62085
v8_diff,diff,75,0.0,1.0,0.90538,0.91509,0.95272,0.6979
v8_diff,diff,75,0.3,1.5,0.89872,0.92453,0.95969,0.66035
