version,experiment_type,dataset_ratio,lambda1,lambda2,precision,recall,mAP50,mAP50-95
v8,baseline,10,,,0.53098,0.17489,0.26743,0.18077
v8,baseline,25,,,0.85919,0.86821,0.89294,0.55297
v8,baseline,50,,,0.79158,0.87183,0.88137,0.52717
v8,baseline,75,,,0.87265,0.92963,0.95932,0.66577
v8,npp,10,0.08,0.08,0.53098,0.17489,0.26743,0.18077
v8,npp,10,0.08,0.06,0.53098,0.17489,0.26743,0.18077
v8,npp,10,0.02,0.06,0.53098,0.17489,0.26743,0.18077
v8,npp,25,0.08,0.08,0.74895,0.82075,0.86785,0.48765
v8,npp,25,0.08,0.06,0.79227,0.82852,0.86651,0.52006
v8,npp,25,0.02,0.06,0.78049,0.82344,0.85359,0.49294
v8,npp,50,0.08,0.08,0.87429,0.9137,0.93321,0.63465
v8,npp,50,0.08,0.06,0.8258,0.84473,0.87112,0.57902
v8,npp,50,0.02,0.06,0.81429,0.85949,0.88438,0.5648
v8,npp,75,0.08,0.08,0.9293,0.92939,0.97118,0.71802
v8,npp,75,0.08,0.06,0.90311,0.92453,0.97079,0.69193
v8,npp,75,0.02,0.06,0.91604,0.93818,0.96652,0.70495
