experiment_name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
train_diff_alpha0.0_beta0.5_fpn14_17_20,384,8013.35,0.99066,0.74949,1.29748,0.8106,0.92,0.92289,0.61015,1.24252,0.82174,1.68516,8.6809e-05,8.6809e-05,8.6809e-05
train_diff_alpha0.0_beta1.0_fpn14_17_20,363,7574.61,0.95829,0.70781,1.29032,0.94373,0.88755,0.94885,0.69934,1.0726,0.96774,1.42249,0.000173451,0.000173451,0.000173451
train_diff_alpha0.0_beta1.5_fpn14_17_20,296,6172.9,1.25072,1.00189,1.48739,0.85941,0.85231,0.91608,0.64495,1.17391,0.91815,1.6549,0.000449882,0.000449882,0.000449882
train_diff_alpha0.0_beta2.0_fpn14_17_20,372,7754.29,1.02029,0.76136,1.28876,0.9816,0.97222,0.99167,0.75901,1.03622,0.73618,1.34523,0.000136319,0.000136319,0.000136319
train_diff_alpha0.1_beta0.0_fpn14_17_20,397,8280,0.6403,0.48649,1.08041,0.99084,1,0.995,0.78491,0.86542,0.49462,1.13365,3.31733e-05,3.31733e-05,3.31733e-05
train_diff_alpha0.1_beta0.5_fpn14_17_20,362,7544.65,1.07124,0.725,1.40659,0.87183,0.9,0.93867,0.66128,1.20421,0.88004,1.61342,0.000177577,0.000177577,0.000177577
train_diff_alpha0.1_beta1.0_fpn14_17_20,358,7466.03,1.00009,0.70586,1.32129,0.87101,0.91884,0.92801,0.64611,1.16838,0.8266,1.65294,0.00019408,0.00019408,0.00019408
train_diff_alpha0.1_beta1.5_fpn14_17_20,365,7602.98,1.00336,0.81257,1.35057,0.90739,0.94,0.93782,0.68171,1.09623,0.84927,1.48497,0.0001652,0.0001652,0.0001652
train_diff_alpha0.1_beta2.0_fpn14_17_20,334,6949.17,1.14369,0.77066,1.34411,0.92438,0.90656,0.95773,0.68963,1.10688,0.90505,1.41178,0.0002931,0.0002931,0.0002931
train_diff_alpha0.3_beta0.0_fpn14_17_20,107,2242.57,1.63634,1.34061,1.74705,0.71878,0.78,0.79363,0.51606,1.41868,1.33594,1.71661,0.00122966,0.00122966,0.00122966
train_npp_l2d0.0_l1d0.0_mask0.3_fpn14_17_20,358,7479.07,0.88673,0.58613,1.1782,0.98803,1,0.995,0.79683,0.83933,0.53508,1.14725,0.00019408,0.00019408,0.00019408
