epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.76689,2.34788,3.16575,0.00492576,0.000997808,1.64533,0.000106299,2.12598e-05,0.000106299,0.00625,0.440786,2.67926,1.31453,0.0001,1e-05
2,6.97349,0.464268,2.39561,0.00460582,0.000965585,1.16854,0.000118271,1.18271e-05,0.000118271,0.003125,0.225488,1.95885,0.858995,0.0001,1e-05
3,10.191,0.22823,1.68976,0.00425883,0.000924718,0.729346,0.00110306,0.000503528,0.00110306,0.165625,0.162467,1.13354,0.504784,0.0001,1e-05
4,13.3859,0.181516,0.99089,0.00407253,0.000908095,0.620455,0.00157802,0.00051431,0.00157802,0.15625,0.19729,0.633678,0.617171,0.0001,1e-05
5,16.74,0.179426,0.619023,0.00374577,0.000867097,0.574177,0.00277211,0.00100665,0.00277211,0.190625,0.152604,0.4571,0.47876,0.0001,1e-05
6,20.0775,0.155769,0.429336,0.00354492,0.000835096,0.524355,0.00408816,0.00183181,0.00408816,0.2375,0.105602,0.363663,0.373669,0.0001,1e-05
7,23.461,0.156626,0.338166,0.00331156,0.000799454,0.453021,0.00497007,0.00188311,0.00497007,0.24375,0.125167,0.334853,0.425421,0.0001,1e-05
8,26.7618,0.169973,0.316638,0.00312876,0.000769405,0.534491,0.011903,0.00433081,0.011903,0.30325,0.122747,0.331368,0.405875,0.0001,1e-05
9,29.9677,0.146888,0.317001,0.00302363,0.00074279,0.451048,0.0083441,0.00348206,0.0083441,0.415,0.117261,0.322871,0.39496,0.0001,1e-05
10,33.2849,0.120493,0.308175,0.00287796,0.000714931,0.395614,0.00679173,0.00311161,0.00679173,0.470375,0.100639,0.321305,0.407226,0.0001,1e-05
11,36.4855,0.119415,0.31318,0.00267778,0.000672688,0.38548,0.00615471,0.00244255,0.00615471,0.401625,0.108024,0.316406,0.393669,0.0001,1e-05
12,39.8039,0.111955,0.306274,0.0025864,0.000648306,0.390574,0.00583033,0.00253236,0.00583033,0.43525,0.0836793,0.3127,0.296481,0.0001,1e-05
13,43.1756,0.15073,0.295399,0.00243878,0.000615669,0.366643,0.00600046,0.00332811,0.00600046,0.536,0.0888602,0.309002,0.290591,0.0001,1e-05
