epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.7124,2.43117,1.76201,0.00254271,1.8051,0,0,0,0,0.573208,1.3458,1.35201,0.0001,1e-05
2,6.95277,0.548446,1.23279,0.00238756,1.27606,0,0,0,0,0.239342,1.00255,0.825353,0.0001,1e-05
3,9.92939,0.246157,0.848621,0.00230442,0.761314,0,0,0,0,0.157335,0.578012,0.560152,0.0001,1e-05
4,12.9654,0.223821,0.517849,0.00218088,0.600091,0.00106595,0.0003206,0.00106595,0.04375,0.154951,0.403724,0.513219,0.0001,1e-05
5,16.2454,0.191695,0.401442,0.00201731,0.560664,0,0,0,0,0.116619,0.369198,0.399742,0.0001,1e-05
6,19.3742,0.133185,0.373866,0.00190939,0.436353,0,0,0,0,0.153878,0.360866,0.518361,0.0001,1e-05
7,22.6274,0.139169,0.344625,0.00179444,0.425272,0.000953429,0.000146681,0.000953429,0.0125,0.158277,0.338767,0.494768,0.0001,1e-05
8,25.7313,0.114422,0.32771,0.00175903,0.372055,0.00253099,0.00128434,0.00253099,0.05625,0.0900212,0.319558,0.348895,0.0001,1e-05
9,28.7572,0.12077,0.306906,0.0017511,0.426403,0.00241178,0.000508095,0.00241178,0.028125,0.139649,0.310822,0.452197,0.0001,1e-05
10,31.9482,0.121692,0.297932,0.00164603,0.424015,0.00720072,0.00260835,0.00720072,0.08125,0.112965,0.30796,0.361962,0.0001,1e-05
11,35.3091,0.0986411,0.296245,0.00150331,0.337154,0.020858,0.00612714,0.020858,0.153125,0.0779852,0.305747,0.301824,0.0001,1e-05
12,38.6551,0.0771851,0.296126,0.00145462,0.280477,0.0706659,0.036453,0.0706659,0.433875,0.0658771,0.307715,0.252484,0.0001,1e-05
13,41.8819,0.0730898,0.300506,0.00137161,0.27079,0.0409664,0.0239929,0.0409664,0.57925,0.0683069,0.307555,0.255985,0.0001,1e-05
14,45.1098,0.0666134,0.304198,0.00135338,0.263487,0.0304816,0.0166344,0.0304816,0.69,0.0714265,0.302725,0.27387,0.0001,1e-05
15,48.4204,0.0694647,0.295748,0.00134212,0.266947,0.0376463,0.018738,0.0376463,0.72325,0.0694454,0.298217,0.253929,0.0001,1e-05
16,51.5616,0.072367,0.289136,0.00132131,0.262862,0.0569922,0.0286825,0.0569922,0.742125,0.0528621,0.292986,0.205928,0.0001,1e-05
17,54.77,0.0634288,0.291576,0.00130097,0.244395,0.0495004,0.0297061,0.0495004,0.734,0.0621488,0.286988,0.237089,0.0001,1e-05
18,58.1039,0.133552,0.287225,0.00122048,0.357552,0.0680897,0.0394847,0.0680897,0.722875,0.0682128,0.278823,0.271887,0.0001,1e-05
19,61.3022,0.0529923,0.276009,0.00117012,0.223407,0.0531743,0.0304057,0.0531743,0.79,0.0631333,0.274353,0.217053,0.0001,1e-05
20,64.6351,0.0544327,0.273138,0.0011152,0.20391,0.038826,0.0220283,0.038826,0.760125,0.0652113,0.269714,0.24053,0.0001,1e-05
21,67.8696,0.0590888,0.271585,0.00110684,0.226582,0.0201204,0.0107209,0.0201204,0.53575,0.0598722,0.266921,0.264244,0.0001,1e-05
22,70.9991,0.0625772,0.26945,0.0011303,0.240776,0.0191637,0.010203,0.0191637,0.508125,0.0560548,0.270856,0.21402,0.0001,1e-05
23,74.2217,0.0543181,0.268545,0.00111236,0.217295,0.0252112,0.0124716,0.0252112,0.621,0.0548231,0.265249,0.212524,0.0001,1e-05
24,77.5159,0.102857,0.263088,0.00100078,0.28968,0.0347115,0.0199793,0.0347115,0.75325,0.0444238,0.259595,0.165272,0.0001,1e-05
25,80.7272,0.0421636,0.254584,0.00107741,0.184744,0.0216414,0.0125948,0.0216414,0.5745,0.0443038,0.258483,0.196207,0.0001,1e-05
26,83.8549,0.054469,0.257361,0.00107883,0.238068,0.0231587,0.0116834,0.0231587,0.532,0.0700935,0.252846,0.258752,0.0001,1e-05
27,86.9574,0.0531039,0.255959,0.00102103,0.197942,0.0276364,0.0160073,0.0276364,0.576125,0.0618851,0.247803,0.225966,0.0001,1e-05
28,90.308,0.0500381,0.246652,0.000984908,0.188722,0.0285735,0.0188539,0.0285735,0.63375,0.0456205,0.245385,0.198167,0.0001,1e-05
29,93.4847,0.0616061,0.242785,0.000990198,0.234878,0.025222,0.0155944,0.025222,0.600125,0.0446732,0.243436,0.182292,0.0001,1e-05
30,96.8227,0.0484951,0.246821,0.000978961,0.194443,0.0265894,0.0149708,0.0265894,0.591875,0.0496335,0.245126,0.224589,0.0001,1e-05
31,99.9733,0.0453706,0.24974,0.00099306,0.193707,0.0380832,0.021171,0.0380832,0.683,0.0581203,0.237974,0.239789,0.0001,1e-05
32,103.184,0.0555776,0.238772,0.000980419,0.252129,0.0513937,0.0284815,0.0513937,0.737,0.0646626,0.234854,0.228101,0.0001,1e-05
33,106.491,0.0557935,0.240725,0.000949178,0.232543,0.0608145,0.0362591,0.0608145,0.79075,0.0586917,0.232965,0.233837,0.0001,1e-05
34,109.714,0.0570426,0.232203,0.000922679,0.210246,0.0774554,0.0481169,0.0774554,0.84225,0.0422436,0.236737,0.171317,0.0001,1e-05
35,112.881,0.0514305,0.237073,0.00093833,0.222155,0.0624228,0.0265176,0.0624228,0.764125,0.0566571,0.237402,0.206137,0.0001,1e-05
36,116.159,0.0573889,0.244167,0.000890926,0.227942,0.0597862,0.027784,0.0597862,0.74425,0.0474679,0.239379,0.211462,0.0001,1e-05
37,119.633,0.0464325,0.242986,0.000825491,0.186716,0.0644878,0.0373436,0.0644878,0.650125,0.0672189,0.235865,0.263303,0.0001,1e-05
38,122.932,0.0585631,0.237552,0.000862881,0.2292,0.0764973,0.0399591,0.0764973,0.78325,0.0534864,0.228864,0.213629,0.0001,1e-05
39,126.144,0.0579144,0.238096,0.000865447,0.237222,0.0657175,0.0353909,0.0657175,0.639375,0.0799415,0.229394,0.33322,0.0001,1e-05
40,129.315,0.0562331,0.235938,0.000861041,0.22471,0.0683343,0.0425439,0.0683343,0.80975,0.0439504,0.235085,0.171752,0.0001,1e-05
41,132.55,0.0465078,0.230295,0.000887467,0.184226,0.0971199,0.0463805,0.0971199,0.795,0.0453555,0.230411,0.188941,0.0001,1e-05
42,135.835,0.0496069,0.229991,0.000806851,0.173443,0.0644459,0.0407462,0.0644459,0.798625,0.0500557,0.226165,0.21928,0.0001,1e-05
43,139.133,0.0441776,0.229344,0.000838167,0.173927,0.0666312,0.0421494,0.0666312,0.802875,0.0457169,0.231358,0.184955,0.0001,1e-05
44,142.436,0.0454008,0.230432,0.000814674,0.191638,0.0639373,0.0397673,0.0639373,0.81575,0.0461096,0.229171,0.192633,0.0001,1e-05
45,145.608,0.0509808,0.224009,0.000796881,0.21364,0.0619563,0.0438521,0.0619563,0.832875,0.0456762,0.224005,0.182462,0.0001,1e-05
46,148.896,0.0418106,0.22768,0.00082281,0.183521,0.0789877,0.0506758,0.0789877,0.877,0.0357849,0.22422,0.149818,0.0001,1e-05
47,152.075,0.108528,0.226621,0.000818646,0.236819,0.0936929,0.0537533,0.0936929,0.855,0.0380604,0.223127,0.166753,0.0001,1e-05
48,155.249,0.0477161,0.229023,0.000811897,0.175354,0.0709147,0.0472289,0.0709147,0.822625,0.040203,0.22127,0.174338,0.0001,1e-05
49,158.58,0.0467175,0.230116,0.000841003,0.171383,0.0716825,0.0460698,0.0716825,0.818625,0.0366127,0.222651,0.161002,0.0001,1e-05
50,161.885,0.0420964,0.228323,0.000782578,0.184576,0.0698163,0.0407261,0.0698163,0.812,0.0375856,0.223703,0.163037,0.0001,1e-05
51,165.219,0.0404507,0.223266,0.000765999,0.158041,0.0537488,0.0312607,0.0537488,0.786375,0.0525801,0.222302,0.214101,0.0001,1e-05
52,168.327,0.0440494,0.229882,0.000838133,0.180403,0.0535889,0.0310913,0.0535889,0.761625,0.056766,0.223205,0.232059,0.0001,1e-05
53,171.515,0.044417,0.230262,0.00078988,0.207,0.0540716,0.0299437,0.0540716,0.704625,0.0548595,0.224081,0.254138,0.0001,1e-05
54,174.704,0.0514904,0.229866,0.000828481,0.243495,0.0585044,0.0400667,0.0585044,0.81275,0.0380646,0.220738,0.170388,0.0001,1e-05
55,177.904,0.0485898,0.223926,0.000783518,0.215003,0.0594981,0.0371174,0.0594981,0.750375,0.0540016,0.218841,0.225464,0.0001,1e-05
56,181.229,0.0564763,0.223445,0.000745929,0.240586,0.0648103,0.047556,0.0648103,0.83575,0.0362574,0.218543,0.159259,0.0001,1e-05
57,184.471,0.0399252,0.222911,0.000763558,0.156602,0.0708358,0.0528213,0.0708358,0.822625,0.0408464,0.220924,0.169292,0.0001,1e-05
58,187.696,0.0458087,0.224791,0.00074644,0.170757,0.0738506,0.0515754,0.0738506,0.7695,0.0521155,0.217835,0.219943,0.0001,1e-05
59,190.991,0.0417634,0.225953,0.000743518,0.16671,0.0794746,0.058096,0.0794746,0.821125,0.0453236,0.21949,0.183471,0.0001,1e-05
60,194.168,0.0552566,0.222678,0.000764623,0.206681,0.0836953,0.0535264,0.0836953,0.755125,0.0595383,0.22031,0.232142,0.0001,1e-05
61,197.45,0.054829,0.216656,0.000710833,0.216721,0.0828152,0.0567518,0.0828152,0.84525,0.0511305,0.217245,0.176049,0.0001,1e-05
62,200.646,0.0450984,0.220305,0.000774673,0.168993,0.0738263,0.0508581,0.0738263,0.7825,0.0514202,0.216421,0.218016,0.0001,1e-05
63,203.895,0.042445,0.211013,0.000744259,0.172206,0.0784947,0.0461425,0.0784947,0.760625,0.0385289,0.217631,0.187938,0.0001,1e-05
64,207.056,0.0434462,0.215441,0.000781925,0.178291,0.0770485,0.0439955,0.0770485,0.77425,0.0424652,0.216162,0.205482,0.0001,1e-05
65,210.261,0.0441655,0.221928,0.000718141,0.186005,0.0862409,0.0485138,0.0862409,0.78225,0.0422992,0.214792,0.193956,0.0001,1e-05
66,213.777,0.0378228,0.218838,0.000668653,0.15608,0.090751,0.0542593,0.090751,0.802375,0.0433845,0.215669,0.177314,0.0001,1e-05
67,217,0.0448098,0.223136,0.000755575,0.184471,0.0789571,0.048115,0.0789571,0.76425,0.0444887,0.219864,0.203518,0.0001,1e-05
68,220.264,0.0459313,0.212668,0.000733774,0.178984,0.0750717,0.0440359,0.0750717,0.723375,0.0523703,0.215431,0.236473,0.0001,1e-05
69,223.504,0.0885868,0.221467,0.000746538,0.248637,0.0715717,0.0443251,0.0715717,0.79875,0.0508354,0.213387,0.205514,0.0001,1e-05
70,226.908,0.0379188,0.216594,0.000765643,0.157247,0.0817452,0.0521917,0.0817452,0.797,0.0495671,0.212605,0.209653,0.0001,1e-05
71,230.262,0.0430401,0.214675,0.000699861,0.175915,0.112949,0.0632902,0.112949,0.785125,0.0520432,0.21179,0.219389,0.0001,1e-05
72,233.615,0.047541,0.216328,0.000679529,0.177381,0.13364,0.0665653,0.13364,0.806125,0.0430403,0.210398,0.188295,0.0001,1e-05
73,236.988,0.0388643,0.208065,0.000675294,0.153325,0.0925751,0.044508,0.0925751,0.845375,0.0411689,0.214331,0.166848,0.0001,1e-05
74,240.223,0.042785,0.216469,0.00071598,0.157607,0.0921067,0.0441949,0.0921067,0.829125,0.0500508,0.217596,0.186692,0.0001,1e-05
75,243.591,0.0436587,0.218684,0.000711368,0.181427,0.0904326,0.0467586,0.0904326,0.86075,0.0375558,0.213516,0.146966,0.0001,1e-05
76,246.747,0.0422654,0.218411,0.000750371,0.170871,0.0588422,0.0379252,0.0588422,0.7895,0.0603806,0.215624,0.220376,0.0001,1e-05
77,249.996,0.0463928,0.216269,0.000713105,0.190226,0.0660262,0.0358762,0.0660262,0.832,0.0424982,0.214507,0.171402,0.0001,1e-05
78,253.096,0.0370919,0.216,0.000705607,0.157614,0.0861677,0.0465113,0.0861677,0.857875,0.0376774,0.212043,0.155903,0.0001,1e-05
