epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.77956,2.35102,3.16633,0.00492525,0.00198363,1.64404,0,0,0,0,0.48838,2.68089,1.32242,0.0001,1e-05
2,6.97368,0.505141,2.37827,0.00463366,0.0019007,1.27029,0.000580126,0.000101634,0.000580126,0.0145,0.313819,1.84152,1.07102,0.0001,1e-05
3,10.2168,0.351315,1.5855,0.00432733,0.0018061,1.07257,0.00180852,0.000621013,0.00180852,0.09375,0.245712,1.05221,0.780922,0.0001,1e-05
4,13.4334,0.231789,0.934998,0.00417352,0.00175917,0.656386,0.00472582,0.00162599,0.00472582,0.171875,0.160189,0.552041,0.547158,0.0001,1e-05
5,16.7474,0.194577,0.539246,0.00383737,0.00165443,0.627009,0.00600479,0.00267571,0.00600479,0.153125,0.159122,0.388544,0.533907,0.0001,1e-05
6,20.0988,0.159155,0.407832,0.0035883,0.00156546,0.559013,0.00594617,0.00250334,0.00594617,0.2125,0.140964,0.34776,0.459274,0.0001,1e-05
7,23.4854,0.155241,0.339825,0.0033135,0.00146418,0.482805,0.0110169,0.00519627,0.0110169,0.2625,0.146294,0.322076,0.462375,0.0001,1e-05
8,26.7911,0.180176,0.309679,0.00311996,0.00138489,0.512164,0.0206026,0.00563558,0.0206026,0.2165,0.124236,0.31656,0.465506,0.0001,1e-05
9,29.9672,0.137759,0.305233,0.00302148,0.00132756,0.450037,0.0198812,0.0104337,0.0198812,0.395125,0.104463,0.311787,0.373401,0.0001,1e-05
10,33.253,0.109371,0.298914,0.00287335,0.00126224,0.365249,0.00900899,0.00409458,0.00900899,0.30225,0.141146,0.318249,0.519084,0.0001,1e-05
11,36.4352,0.112458,0.343774,0.00268379,0.00117891,0.408468,0.00818519,0.00422976,0.00818519,0.48775,0.0841365,0.320868,0.313327,0.0001,1e-05
12,39.769,0.0825936,0.31104,0.00261729,0.00113825,0.304424,0.0093189,0.00463121,0.0093189,0.537625,0.0912314,0.311736,0.318369,0.0001,1e-05
13,43.1371,0.133124,0.30212,0.00248926,0.00107767,0.337683,0.00626939,0.00290612,0.00626939,0.4565,0.0888264,0.309368,0.319346,0.0001,1e-05
14,46.4413,0.0857004,0.298439,0.00241989,0.00103809,0.293361,0.00696759,0.00412224,0.00696759,0.49425,0.0921528,0.304144,0.344777,0.0001,1e-05
15,49.7444,0.0925043,0.288581,0.00249601,0.00104877,0.319429,0.00617997,0.00336936,0.00617997,0.43375,0.0962938,0.295064,0.375813,0.0001,1e-05
16,52.9468,0.0823686,0.287454,0.00235221,0.00098661,0.291153,0.00537482,0.00304279,0.00537482,0.44575,0.0847544,0.288295,0.286721,0.0001,1e-05
17,56.3235,0.0720113,0.279241,0.00228535,0.000957236,0.2642,0.00526019,0.00285586,0.00526019,0.406875,0.0811806,0.28029,0.315003,0.0001,1e-05
18,59.9018,0.0789688,0.274325,0.00221354,0.000921955,0.310751,0.00419874,0.00279708,0.00419874,0.42775,0.062375,0.277105,0.263626,0.0001,1e-05
19,63.2239,0.0703289,0.278154,0.00218556,0.000911068,0.27986,0.00440974,0.00242339,0.00440974,0.378625,0.0685629,0.274669,0.278532,0.0001,1e-05
20,66.5988,0.0753538,0.27564,0.00211842,0.000882431,0.300496,0.00408285,0.00185398,0.00408285,0.3075,0.0907068,0.271994,0.34293,0.0001,1e-05
21,69.8463,0.067776,0.280139,0.00204643,0.000851972,0.243579,0.00487172,0.00313388,0.00487172,0.4325,0.0529989,0.268233,0.19866,0.0001,1e-05
22,73.1307,0.0505415,0.271435,0.0019163,0.00080118,0.215583,0.00623967,0.0036343,0.00623967,0.436375,0.0674879,0.265535,0.288586,0.0001,1e-05
23,76.4731,0.0785857,0.267546,0.00194999,0.000812586,0.289549,0.00819953,0.00461815,0.00819953,0.478,0.0681421,0.263339,0.253866,0.0001,1e-05
24,79.6814,0.0626757,0.258415,0.00187385,0.000781542,0.240762,0.0095611,0.00557541,0.0095611,0.44825,0.0633274,0.258015,0.240776,0.0001,1e-05
25,83.0702,0.0529866,0.252829,0.00186014,0.000778238,0.220587,0.0356001,0.0158283,0.0356001,0.478,0.0639533,0.251182,0.237039,0.0001,1e-05
26,86.4896,0.082273,0.244831,0.00164657,0.000693692,0.280741,0.0731743,0.0338896,0.0731743,0.492625,0.0635013,0.244775,0.24825,0.0001,1e-05
27,89.8154,0.0677166,0.240981,0.00176161,0.000741214,0.257353,0.0626431,0.0292141,0.0626431,0.523125,0.0558493,0.242143,0.225276,0.0001,1e-05
28,93.1838,0.064962,0.238786,0.0017188,0.000724055,0.249167,0.0625335,0.0366975,0.0625335,0.5045,0.0613701,0.239295,0.269042,0.0001,1e-05
29,96.3605,0.0607455,0.236756,0.00168535,0.000712714,0.22933,0.0625888,0.0371078,0.0625888,0.5905,0.0487839,0.2354,0.221136,0.0001,1e-05
30,99.7274,0.0493314,0.231459,0.00177777,0.000752859,0.212149,0.0417665,0.026725,0.0417665,0.68575,0.0458649,0.2323,0.195005,0.0001,1e-05
31,102.936,0.0556024,0.229993,0.001755,0.000744434,0.210956,0.0321486,0.0182124,0.0321486,0.72525,0.0490957,0.238006,0.210569,0.0001,1e-05
32,106.251,0.0493803,0.246343,0.00173596,0.000740549,0.198005,0.0268029,0.0152365,0.0268029,0.71375,0.0565832,0.239641,0.243801,0.0001,1e-05
33,109.672,0.097353,0.242732,0.00158651,0.000679119,0.238991,0.0623452,0.0338696,0.0623452,0.777375,0.0461786,0.239047,0.188669,0.0001,1e-05
34,113.049,0.0547449,0.241407,0.0015926,0.000683684,0.205935,0.0640292,0.0351908,0.0640292,0.701625,0.0567156,0.239444,0.2519,0.0001,1e-05
35,116.349,0.0472036,0.245648,0.00149346,0.00064209,0.192678,0.0714931,0.0477009,0.0714931,0.779625,0.0452878,0.238493,0.196805,0.0001,1e-05
36,119.746,0.0504239,0.23926,0.00154269,0.000660367,0.185445,0.0785053,0.0450124,0.0785053,0.8095,0.0406253,0.236751,0.182097,0.0001,1e-05
37,122.969,0.0892162,0.236786,0.00158645,0.000681296,0.257535,0.0700702,0.0423523,0.0700702,0.73575,0.056588,0.235524,0.24337,0.0001,1e-05
38,126.342,0.0557498,0.236416,0.00150821,0.000649077,0.197616,0.0785381,0.0416109,0.0785381,0.734625,0.0539894,0.235244,0.224705,0.0001,1e-05
39,129.934,0.0598616,0.236226,0.00136054,0.000588519,0.227521,0.083692,0.0438434,0.083692,0.682,0.0566535,0.231087,0.230227,0.0001,1e-05
40,133.367,0.0618031,0.233038,0.00138334,0.000600628,0.236263,0.0800855,0.0418092,0.0800855,0.68525,0.0567405,0.229388,0.224104,0.0001,1e-05
41,136.611,0.0411633,0.232399,0.00146996,0.000639036,0.152944,0.0646314,0.0342829,0.0646314,0.62825,0.0736388,0.229785,0.272331,0.0001,1e-05
42,140.018,0.0485812,0.233623,0.00130671,0.000569582,0.186959,0.0728761,0.0473085,0.0728761,0.7315,0.0460152,0.22687,0.180707,0.0001,1e-05
43,143.434,0.0488423,0.22737,0.0013903,0.000604438,0.200431,0.102818,0.0438391,0.102818,0.723125,0.0570523,0.228268,0.221973,0.0001,1e-05
44,146.734,0.0587254,0.233878,0.00138657,0.000601347,0.234584,0.0917804,0.0477556,0.0917804,0.767375,0.0606957,0.226223,0.239986,0.0001,1e-05
45,149.961,0.057816,0.228843,0.00137542,0.000598281,0.208993,0.0824507,0.0509844,0.0824507,0.84225,0.0483354,0.223618,0.193337,0.0001,1e-05
46,153.301,0.0736323,0.231519,0.00126884,0.000553507,0.273282,0.0960613,0.0723208,0.0960613,0.81125,0.0440423,0.223333,0.180211,0.0001,1e-05
47,156.574,0.047942,0.227755,0.0013435,0.000584481,0.192496,0.111195,0.0749388,0.111195,0.84125,0.0421611,0.222573,0.166301,0.0001,1e-05
48,159.92,0.0473111,0.226548,0.00129005,0.000561103,0.174692,0.131774,0.0735885,0.131774,0.831125,0.0471118,0.225315,0.177751,0.0001,1e-05
49,163.124,0.0502852,0.230958,0.00134225,0.00058138,0.181278,0.118328,0.0740764,0.118328,0.83625,0.0446132,0.224909,0.176395,0.0001,1e-05
50,166.317,0.0453027,0.22482,0.00130097,0.000568285,0.179514,0.112196,0.059596,0.112196,0.674125,0.0626535,0.227918,0.254337,0.0001,1e-05
51,169.76,0.0518918,0.226137,0.00115069,0.000503828,0.183034,0.120991,0.0725578,0.120991,0.821125,0.0434775,0.222348,0.174407,0.0001,1e-05
52,173.131,0.0537149,0.223442,0.00121609,0.000528742,0.216901,0.127995,0.0804167,0.127995,0.665125,0.058602,0.220923,0.283557,0.0001,1e-05
