experiment_name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
train_diff_alpha0.0_beta0.5_fpn15_18_21,377,8876.24,0.49998,0.32305,0.8975,0.98965,0.98,0.99423,0.87181,0.59083,0.28911,0.95762,0.00011569,0.00011569,0.00011569
train_diff_alpha0.0_beta1.0_fpn15_18_21,299,7032.62,0.61611,0.41811,0.98061,0.99456,0.9984,0.995,0.87292,0.6125,0.31218,0.96531,0.000437504,0.000437504,0.000437504
train_diff_alpha0.0_beta1.5_fpn15_18_21,326,7483.99,0.56707,0.35301,0.94725,0.99058,1,0.995,0.87682,0.58079,0.29171,0.95523,0.000326107,0.000326107,0.000326107
train_diff_alpha0.0_beta2.0_fpn15_18_21,375,8505.78,0.50174,0.31913,0.90474,0.99481,0.98,0.99423,0.87443,0.58739,0.29018,0.96324,0.000123941,0.000123941,0.000123941
train_diff_alpha0.1_beta0.0_fpn15_18_21,354,8046.43,0.58193,0.37139,0.93292,0.99802,0.99423,0.995,0.86575,0.62051,0.30172,0.98151,0.000210584,0.000210584,0.000210584
train_diff_alpha0.1_beta0.5_fpn15_18_21,386,8751.36,0.50405,0.35378,0.89273,0.966,1,0.99346,0.87085,0.59635,0.30716,0.96373,7.85574e-05,7.85574e-05,7.85574e-05
train_diff_alpha0.1_beta1.0_fpn15_18_21,340,7699.81,0.55685,0.34172,0.93919,0.96303,0.9982,0.99346,0.86503,0.6072,0.32915,0.97879,0.000268345,0.000268345,0.000268345
train_diff_alpha0.1_beta1.5_fpn15_18_21,292,6604.07,0.60809,0.38744,0.94574,0.97736,1,0.99423,0.88268,0.59305,0.3249,0.96266,0.000466385,0.000466385,0.000466385
train_diff_alpha0.1_beta2.0_fpn15_18_21,223,5062.18,0.70223,0.44742,0.98968,0.99025,0.98,0.99423,0.85629,0.67688,0.40536,1.01504,0.000751067,0.000751067,0.000751067
train_diff_alpha0.3_beta0.0_fpn15_18_21,289,6559.84,0.60856,0.39352,0.93689,0.9946,0.99298,0.995,0.87537,0.5689,0.31595,0.95545,0.000478762,0.000478762,0.000478762
train_diff_alpha0.3_beta0.5_fpn15_18_21,355,8060.88,0.56304,0.36549,0.99635,0.97337,1,0.99269,0.86864,0.64823,0.36269,1.22486,0.000206458,0.000206458,0.000206458
train_diff_alpha0.3_beta1.0_fpn15_18_21,333,7534.31,0.56352,0.38381,0.94352,0.99523,0.99965,0.995,0.87001,0.6271,0.3276,0.97753,0.000297226,0.000297226,0.000297226
train_diff_alpha0.3_beta1.5_fpn15_18_21,316,7153.64,0.55701,0.38184,0.9694,0.98687,1,0.995,0.8745,0.60555,0.30435,0.97605,0.000367365,0.000367365,0.000367365
train_diff_alpha0.3_beta2.0_fpn15_18_21,316,7157.25,0.57919,0.37982,0.98701,0.99447,0.99547,0.995,0.86881,0.62912,0.34326,0.98914,0.000367365,0.000367365,0.000367365
train_diff_alpha0.5_beta0.0_fpn15_18_21,340,7714.56,0.53377,0.34769,0.93359,0.97564,1,0.99269,0.86619,0.61645,0.31649,0.97246,0.000268345,0.000268345,0.000268345
train_diff_alpha0.5_beta0.5_fpn15_18_21,327,7440.11,0.60618,0.38349,0.96661,0.98982,1,0.995,0.86799,0.6211,0.34991,0.98733,0.000321981,0.000321981,0.000321981
train_diff_alpha0.5_beta1.0_fpn15_18_21,270,6124.81,0.61778,0.4058,0.956,0.99231,1,0.995,0.87209,0.61423,0.32368,0.96467,0.000557153,0.000557153,0.000557153
train_diff_alpha0.5_beta1.5_fpn15_18_21,362,8184.44,0.5757,0.37774,0.96731,0.9773,1,0.995,0.88065,0.58029,0.30561,0.96406,0.000177577,0.000177577,0.000177577
train_diff_alpha0.5_beta2.0_fpn15_18_21,337,7623.57,0.58112,0.35504,0.91266,0.99723,0.99151,0.995,0.87294,0.62738,0.3287,0.97903,0.000280723,0.000280723,0.000280723
