epoch,time,train/loss_bbox,train/loss_ce,train/loss_contrastive,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,5.21832,1.81991,1.99178,0.00766563,1.4823,0.0293547,0.0144422,0.0293547,0.226,0.192411,2.01325,0.655882,0.0001,1e-05
2,9.93266,0.224296,1.41948,0.00731269,0.669996,0.0340049,0.0152235,0.0340049,0.326,0.130364,1.07794,0.445346,0.0001,1e-05
3,14.3817,0.145307,0.809141,0.00746163,0.458299,0.0367247,0.0205283,0.0367247,0.34,0.120044,0.55123,0.422678,0.0001,1e-05
4,18.4112,0.143248,0.503718,0.00671806,0.49221,0.0329992,0.0084474,0.0329992,0.194,0.179217,0.423833,0.538101,0.0001,1e-05
5,22.8055,0.166485,0.389388,0.00657458,0.53913,0.0233402,0.011019,0.0233402,0.11,0.189605,0.355121,0.693286,0.0001,1e-05
6,27.5093,0.175851,0.341887,0.00655221,0.563576,0.0219283,0.0123277,0.0219283,0.228,0.169508,0.327631,0.578607,0.0001,1e-05
7,32.1676,0.158327,0.322743,0.00581076,0.466879,0.0205667,0.011483,0.0205667,0.348,0.11226,0.31508,0.375367,0.0001,1e-05
8,36.7187,0.107372,0.304501,0.00527395,0.367279,0.0215586,0.0136859,0.0215586,0.374,0.0860927,0.303466,0.327502,0.0001,1e-05
9,41.3032,0.0891312,0.29929,0.00516857,0.31583,0.0731942,0.0364484,0.0731942,0.37,0.0821143,0.300748,0.300084,0.0001,1e-05
10,45.2785,0.0923948,0.303145,0.00511203,0.317337,0.06179,0.0418447,0.06179,0.376,0.0744976,0.302397,0.286649,0.0001,1e-05
11,49.8016,0.0738415,0.289872,0.00463991,0.273923,0.0531799,0.0296313,0.0531799,0.412,0.0683345,0.286129,0.270706,0.0001,1e-05
12,54.3323,0.0728548,0.281175,0.00378128,0.278279,0.0413066,0.0230517,0.0413066,0.41,0.0610924,0.282887,0.233811,0.0001,1e-05
13,59.0477,0.0685817,0.27191,0.00379156,0.270592,0.0381945,0.0119048,0.0381945,0.336,0.110519,0.279777,0.378706,0.0001,1e-05
14,63.6061,0.078093,0.276623,0.00385124,0.286462,0.0402612,0.01783,0.0402612,0.368,0.0919118,0.275899,0.365106,0.0001,1e-05
