epoch,time,train/loss_bbox,train/loss_ce,train/loss_contrastive,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
41,264.614,0.0578229,0.214962,0.00163954,0.211661,0.0704125,0.0463994,0.0704125,0.780875,0.0497709,0.222113,0.234976,0.0001,1e-05
42,287.046,0.0485195,0.219043,0.00158576,0.197944,0.0749754,0.0506967,0.0749754,0.748375,0.0619054,0.221664,0.247709,0.0001,1e-05
43,291.739,0.0467359,0.221391,0.00142016,0.194534,0.0890854,0.0602563,0.0890854,0.8095,0.0543475,0.222975,0.206145,0.0001,1e-05
44,295.967,0.0436694,0.222272,0.00146733,0.16316,0.0719887,0.051165,0.0719887,0.83575,0.0404517,0.227474,0.18078,0.0001,1e-05
45,300.469,0.0459806,0.222922,0.00139011,0.178331,0.0673839,0.0441878,0.0673839,0.786125,0.0474722,0.23122,0.196146,0.0001,1e-05
46,305.408,0.0579292,0.222542,0.00162945,0.197348,0.0689593,0.0420669,0.0689593,0.794375,0.0554053,0.231545,0.218378,0.0001,1e-05
47,310.114,0.0495045,0.224069,0.00150515,0.19116,0.0792431,0.0561835,0.0792431,0.7925,0.0456089,0.230498,0.198538,0.0001,1e-05
48,314.861,0.0457288,0.222527,0.00140223,0.180008,0.0850458,0.0582518,0.0850458,0.78925,0.0660288,0.225739,0.235786,0.0001,1e-05
49,318.858,0.050088,0.214432,0.00127185,0.187942,0.0754481,0.0501736,0.0754481,0.8235,0.0456346,0.217316,0.18636,0.0001,1e-05
50,345.109,0.0484089,0.217592,0.00131544,0.194109,0.0711926,0.0396379,0.0711926,0.7735,0.0435439,0.222419,0.195154,0.0001,1e-05
51,349.985,0.0513727,0.216915,0.00128769,0.216403,0.0746052,0.0512875,0.0746052,0.814375,0.0550566,0.213538,0.204666,0.0001,1e-05
52,354.57,0.0526784,0.21873,0.00142661,0.20812,0.0789336,0.0560313,0.0789336,0.84175,0.038206,0.219772,0.157506,0.0001,1e-05
53,359.253,0.0401695,0.220858,0.00112557,0.160683,0.0707331,0.0421992,0.0707331,0.787,0.0529685,0.220497,0.191961,0.0001,1e-05
54,363.432,0.0504,0.221217,0.00152849,0.191323,0.0852496,0.0482567,0.0852496,0.794375,0.054175,0.222557,0.19933,0.0001,1e-05
55,368.226,0.0550433,0.217699,0.00139814,0.197746,0.0792421,0.042912,0.0792421,0.73725,0.053648,0.221429,0.226519,0.0001,1e-05
56,372.902,0.0653125,0.222438,0.00158279,0.221968,0.0938281,0.0547406,0.0938281,0.776875,0.0433537,0.221162,0.195046,0.0001,1e-05
57,377.674,0.0471586,0.208456,0.00141121,0.167734,0.100927,0.0531833,0.100927,0.8155,0.0462702,0.213045,0.190306,0.0001,1e-05
58,382.121,0.0434388,0.208798,0.00120347,0.165016,0.0837871,0.0377936,0.0837871,0.711,0.0597232,0.22095,0.26091,0.0001,1e-05
59,405.081,0.0643655,0.215539,0.00118078,0.239127,0.0860706,0.0499342,0.0860706,0.781,0.0615245,0.212267,0.231092,0.0001,1e-05
60,409.881,0.0477886,0.21015,0.00123875,0.203552,0.0987437,0.0656364,0.0987437,0.81375,0.0522966,0.205358,0.200395,0.0001,1e-05
61,414.479,0.0445024,0.212518,0.00116324,0.179855,0.118498,0.0760836,0.118498,0.861625,0.0457501,0.20591,0.166061,0.0001,1e-05
62,418.609,0.0528245,0.208403,0.00126414,0.189974,0.135138,0.0839269,0.135138,0.857875,0.0467026,0.204678,0.17914,0.0001,1e-05
63,423.388,0.0537118,0.2059,0.00147589,0.194071,0.148319,0.0887733,0.148319,0.78025,0.0610775,0.204854,0.254417,0.0001,1e-05
64,428.195,0.0500211,0.20668,0.00125239,0.187051,0.140216,0.0952706,0.140216,0.84,0.0424546,0.215244,0.185261,0.0001,1e-05
65,432.895,0.0481046,0.200856,0.0014813,0.171162,0.155868,0.111546,0.155868,0.87675,0.0379057,0.20817,0.150393,0.0001,1e-05
66,437.731,0.0395028,0.203786,0.00131173,0.161972,0.138677,0.0913457,0.138677,0.81975,0.0492423,0.205061,0.192279,0.0001,1e-05
67,441.887,0.045158,0.203668,0.00148349,0.175134,0.119818,0.0787392,0.119818,0.831375,0.0455243,0.211397,0.177975,0.0001,1e-05
68,446.432,0.0519221,0.202397,0.00139511,0.195314,0.113812,0.0772326,0.113812,0.855875,0.0452624,0.201782,0.168702,0.0001,1e-05
69,451.454,0.0445812,0.20714,0.0012682,0.176504,0.096288,0.0665568,0.096288,0.774375,0.047446,0.207851,0.215992,0.0001,1e-05
70,456.167,0.0512046,0.211598,0.00127329,0.21708,0.0884476,0.0603647,0.0884476,0.745,0.0528343,0.207591,0.239242,0.0001,1e-05
71,460.943,0.055648,0.202826,0.00152398,0.209375,0.11149,0.0742625,0.11149,0.796125,0.0450908,0.208125,0.181189,0.0001,1e-05
72,465.328,0.0456154,0.20203,0.00118156,0.174134,0.127581,0.0859032,0.127581,0.806625,0.0475696,0.204381,0.187746,0.0001,1e-05
73,469.734,0.0454247,0.198495,0.0012186,0.173158,0.174832,0.10772,0.174832,0.83025,0.0385536,0.204394,0.167918,0.0001,1e-05
74,474.384,0.0406613,0.201356,0.00121872,0.154571,0.17817,0.101527,0.17817,0.80375,0.0534397,0.19854,0.210192,0.0001,1e-05
75,479.015,0.0503844,0.196768,0.000936977,0.18532,0.193866,0.112048,0.193866,0.817375,0.0482262,0.20807,0.194051,0.0001,1e-05
76,483.735,0.0496875,0.202245,0.00145956,0.183786,0.1625,0.118614,0.1625,0.819125,0.0465377,0.20431,0.181693,0.0001,1e-05
77,487.919,0.0496954,0.206191,0.00123399,0.195014,0.159709,0.0997885,0.159709,0.8205,0.0541089,0.199558,0.191224,0.0001,1e-05
78,492.354,0.0468968,0.199329,0.00133685,0.176306,0.173587,0.0996659,0.173587,0.807625,0.049355,0.195671,0.191307,0.0001,1e-05
79,497.129,0.0485098,0.201381,0.00115086,0.2043,0.152908,0.0954322,0.152908,0.81775,0.0539226,0.203636,0.193673,0.0001,1e-05
80,502.036,0.0566828,0.205552,0.00146867,0.229164,0.152941,0.0907907,0.152941,0.76925,0.0510358,0.205053,0.229672,0.0001,1e-05
