epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.7164,2.34735,3.16773,0.00573732,0.0114417,1.63493,0,0,0,0,0.40356,2.70383,1.2503,0.0001,1e-05
2,6.84996,0.458053,2.40081,0.00533339,0.0103102,1.1808,0.000268225,2.82037e-05,0.000268225,0.00825,0.26177,1.99263,0.924456,0.0001,1e-05
3,10.0386,0.238401,1.68839,0.00492209,0.00935296,0.807961,0.000653335,0.000232871,0.000653335,0.115625,0.219178,1.14134,0.63562,0.0001,1e-05
4,13.2194,0.249915,0.948315,0.00468352,0.0085453,0.696978,0.00159959,0.000427435,0.00159959,0.090625,0.307792,0.559483,0.778339,0.0001,1e-05
5,16.4778,0.247838,0.56457,0.00432253,0.00767738,0.732116,0.00359228,0.00133306,0.00359228,0.16875,0.146881,0.428191,0.508638,0.0001,1e-05
6,19.745,0.157819,0.453599,0.00412352,0.0071092,0.575249,0.00185421,0.000751229,0.00185421,0.125,0.111801,0.383637,0.499584,0.0001,1e-05
7,23.0945,0.168103,0.374498,0.00385262,0.00640682,0.543506,0.00426263,0.00175353,0.00426263,0.196875,0.109471,0.340717,0.452892,0.0001,1e-05
8,26.2697,0.153117,0.335203,0.00365713,0.00581968,0.506154,0.00417481,0.00180501,0.00417481,0.153125,0.125601,0.326274,0.43037,0.0001,1e-05
9,29.416,0.140423,0.318549,0.00355185,0.00545824,0.485375,0.0218329,0.00895129,0.0218329,0.24375,0.100177,0.328631,0.366589,0.0001,1e-05
10,32.7105,0.1154,0.323489,0.00338987,0.00504855,0.382537,0.0126241,0.00573051,0.0126241,0.367625,0.127067,0.319644,0.387672,0.0001,1e-05
11,35.8959,0.129251,0.312228,0.00319346,0.00463174,0.413529,0.00810504,0.00397626,0.00810504,0.392375,0.118967,0.314868,0.417827,0.0001,1e-05
12,39.0954,0.12545,0.298336,0.00309534,0.00437554,0.408347,0.00923049,0.004125,0.00923049,0.424875,0.132163,0.305991,0.402755,0.0001,1e-05
13,42.609,0.110546,0.284482,0.00290861,0.00404277,0.389531,0.0124275,0.00518456,0.0124275,0.43,0.111544,0.295953,0.376704,0.0001,1e-05
14,45.881,0.116476,0.283845,0.0028187,0.00385505,0.378872,0.0122743,0.00732748,0.0122743,0.527,0.0721763,0.284954,0.271377,0.0001,1e-05
15,49.139,0.0779536,0.269663,0.0028969,0.00390257,0.306229,0.0189576,0.0104392,0.0189576,0.43825,0.0986011,0.272095,0.330704,0.0001,1e-05
16,52.3135,0.100861,0.260763,0.00271415,0.0036189,0.328608,0.0223896,0.0117122,0.0223896,0.49325,0.0738934,0.259838,0.283571,0.0001,1e-05
