source,epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
_2d2_1d6_nm20_a10_b100,27,916.91,0.106671,0.060428,0.00076776,0.000278601,0.424214,0.905833,0.46613,0.95,0.76,0.0943513,0.0705797,0.426425,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,28,948.888,0.102361,0.0584339,0.000720016,0.000270325,0.413466,0.924213,0.509475,0.969231,0.84,0.0951281,0.046363,0.425194,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,29,981.476,0.0983023,0.0542813,0.000754141,0.000281181,0.405664,0.906694,0.491858,0.983333,0.786667,0.089599,0.060024,0.415625,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,30,1013.55,0.0981507,0.0492863,0.000724326,0.000272215,0.408489,0.875223,0.507551,0.903226,0.746667,0.0957691,0.0481294,0.431816,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,31,1046.4,0.0957719,0.0522559,0.000614774,0.000241799,0.400096,0.932063,0.5476,0.953125,0.813333,0.0950333,0.0436136,0.400681,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,32,1080.69,0.0967985,0.0485558,0.00059383,0.000235126,0.400108,0.89705,0.440837,0.953846,0.826667,0.103753,0.0541715,0.464934,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,33,1114.09,0.0992003,0.0518206,0.000608825,0.000243019,0.408561,0.898121,0.493251,0.897059,0.813333,0.111966,0.0412586,0.460767,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,34,1145.96,0.0968612,0.0507403,0.00061444,0.000245835,0.405229,0.887126,0.454651,0.926471,0.84,0.119756,0.0384,0.476864,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,35,1178.62,0.0977051,0.0411616,0.00058715,0.000236552,0.40388,0.874151,0.536386,0.884058,0.813333,0.0993256,0.0302527,0.4311,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,36,1211.11,0.101823,0.0362055,0.0006568,0.000255713,0.42524,0.927877,0.445285,0.888889,0.853333,0.115003,0.0384634,0.486306,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,37,1243.19,0.0940947,0.0339771,0.000627101,0.000247441,0.392626,0.944169,0.545468,0.96875,0.826667,0.0963293,0.0443776,0.402878,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,38,1276.03,0.101134,0.0463815,0.000643767,0.000255289,0.40911,0.899341,0.543164,0.9,0.84,0.100669,0.0331074,0.435472,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,39,1309.15,0.0993639,0.0388759,0.000663353,0.000257307,0.398567,0.912649,0.496077,0.910448,0.813333,0.109044,0.0483777,0.455789,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,40,1342.58,0.0930985,0.0325886,0.000561169,0.00023191,0.391344,0.932161,0.575176,0.940299,0.84,0.0893052,0.0341762,0.374712,0.0001,1e-05
_2d2_1d6_nm20_a10_b100,41,1375.87,0.0995116,0.035004,0.000577166,0.000237415,0.411462,0.908295,0.543486,0.895522,0.8,0.0940557,0.036039,0.412304,0.0001,1e-05
