epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,12.2215,0.486365,1.28701,0.00123628,0.00032396,0.945877,0.00841035,0.0025968,0.0314136,0.08,0.24695,0.357866,0.834437,0.0001,1e-05
2,24.5325,0.206374,0.347316,0.00205677,0.000608792,0.639811,0.00579236,0.00278137,0.00816327,0.106667,0.144536,0.326905,0.556496,0.0001,1e-05
3,37.6134,0.139852,0.32322,0.00240482,0.000764073,0.485704,0.00694755,0.00372638,0.0147667,0.333333,0.111683,0.281681,0.4201,0.0001,1e-05
4,51.1006,0.11527,0.325685,0.00277151,0.000882729,0.419529,0.00422995,0.00211342,0.0082713,0.266667,0.135819,0.293263,0.481748,0.0001,1e-05
5,61.9911,0.146366,0.297881,0.00322302,0.00101386,0.439077,0.00716972,0.00317866,0.0155979,0.36,0.124082,0.264782,0.479596,0.0001,1e-05
6,73.616,0.107135,0.274668,0.00306961,0.000966134,0.395359,0.00872178,0.00393659,0.0142643,0.253333,0.106781,0.271243,0.470063,0.0001,1e-05
7,87.0298,0.11656,0.275662,0.00272748,0.000884538,0.408033,0.00977367,0.00405099,0.0170512,0.226667,0.132379,0.26485,0.541901,0.0001,1e-05
8,99.9754,0.0988276,0.274857,0.00241702,0.000799167,0.395573,0.0327316,0.0182148,0.0242872,0.306667,0.0927142,0.252429,0.340401,0.0001,1e-05
9,112.864,0.0954399,0.26739,0.00228202,0.000758423,0.360917,0.0441508,0.0237468,0.0309278,0.24,0.0891712,0.261642,0.327323,0.0001,1e-05
10,126.31,0.0845525,0.270665,0.00225035,0.000749113,0.334888,0.04665,0.0244637,0.0298364,0.413333,0.0973246,0.253384,0.412576,0.0001,1e-05
11,139.114,0.108607,0.254668,0.00212977,0.000704889,0.418634,0.0462584,0.023069,0.144928,0.133333,0.0863482,0.239982,0.36681,0.0001,1e-05
12,150.009,0.0830969,0.255892,0.001929,0.000652123,0.353287,0.0478162,0.022958,0.0947368,0.12,0.101281,0.242225,0.384616,0.0001,1e-05
13,161.755,0.0864696,0.247329,0.00178829,0.000605643,0.356429,0.028689,0.0140259,0.0594595,0.146667,0.110978,0.250668,0.390245,0.0001,1e-05
14,173.18,0.0856416,0.253367,0.00177154,0.000603249,0.338792,0.0383445,0.0173244,0.08,0.133333,0.099359,0.232762,0.416726,0.0001,1e-05
15,184.177,0.0900321,0.257957,0.00176414,0.00060231,0.36458,0.0728323,0.0380713,0.041958,0.16,0.0969706,0.236851,0.375236,0.0001,1e-05
16,197.716,0.0733831,0.249569,0.001637,0.00056256,0.287894,0.0906748,0.0455219,0.175824,0.213333,0.109314,0.240607,0.36816,0.0001,1e-05
17,211.219,0.0742079,0.247985,0.00159814,0.000548275,0.296983,0.0796837,0.0450483,0.108108,0.213333,0.0991233,0.247956,0.35251,0.0001,1e-05
18,222.488,0.0730701,0.256854,0.00154769,0.000532792,0.289898,0.101709,0.0435677,0.0779221,0.24,0.122259,0.242796,0.386116,0.0001,1e-05
19,233.626,0.0861142,0.24407,0.00144961,0.000503594,0.330461,0.0847063,0.0221743,0.2,0.106667,0.141452,0.247212,0.498051,0.0001,1e-05
20,244.574,0.076435,0.236665,0.00142301,0.000497099,0.31605,0.0678388,0.0351975,0.0784314,0.106667,0.103862,0.240978,0.330196,0.0001,1e-05
21,255.993,0.0770364,0.25177,0.00137852,0.000482973,0.305878,0.0530883,0.0261718,0.217391,0.0666667,0.132679,0.244496,0.476278,0.0001,1e-05
22,267.231,0.0991227,0.248905,0.00143521,0.000501592,0.346722,0.0601427,0.0345626,0.0683761,0.106667,0.117624,0.234269,0.393161,0.0001,1e-05
