experiment_name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
train_npp_l2d0.02_l1d0.02_mask0.1_fpn16_19_22,324,7515.29,0.67582,0.42896,1.01617,0.98263,0.99792,0.995,0.88333,0.60184,0.33047,0.97237,0.000334359,0.000334359,0.000334359
train_npp_l2d0.02_l1d0.02_mask0.2_fpn16_19_22,253,5752.41,0.82162,0.52956,1.04533,0.99291,1,0.995,0.87611,0.65044,0.35827,0.9919,0.000627292,0.000627292,0.000627292
train_npp_l2d0.02_l1d0.02_mask0.3_fpn16_19_22,316,7177.04,0.65504,0.41229,1.03191,0.98508,1,0.995,0.87718,0.58804,0.32444,0.97679,0.000367365,0.000367365,0.000367365
train_npp_l2d0.02_l1d0.04_mask0.1_fpn16_19_22,340,7421.04,0.61576,0.38223,0.98319,0.99639,0.9952,0.995,0.86584,0.61871,0.34223,0.97254,0.000268345,0.000268345,0.000268345
train_npp_l2d0.02_l1d0.04_mask0.2_fpn16_19_22,373,8471.39,0.61597,0.38819,0.97441,0.99574,1,0.995,0.87502,0.6134,0.30879,0.97261,0.000132193,0.000132193,0.000132193
train_npp_l2d0.02_l1d0.04_mask0.3_fpn16_19_22,370,8249.95,0.57412,0.36523,0.92437,0.99296,1,0.995,0.8785,0.60535,0.30245,0.96061,0.000144571,0.000144571,0.000144571
train_npp_l2d0.02_l1d0.06_mask0.1_fpn16_19_22,400,9010.65,0.44904,0.29997,0.90631,0.99452,0.99704,0.995,0.8804,0.60585,0.3073,0.97655,2.07958e-05,2.07958e-05,2.07958e-05
train_npp_l2d0.02_l1d0.06_mask0.2_fpn16_19_22,341,7472.29,0.6146,0.37646,0.96203,0.99291,0.99935,0.995,0.87241,0.60836,0.33584,0.97376,0.00026422,0.00026422,0.00026422
train_npp_l2d0.02_l1d0.06_mask0.3_fpn16_19_22,372,8195.54,0.58197,0.39364,0.96238,0.99277,1,0.995,0.874,0.61753,0.31661,0.98484,0.000136319,0.000136319,0.000136319
train_npp_l2d0.02_l1d0.08_mask0.1_fpn16_19_22,338,7608.55,0.62716,0.39021,0.95194,0.98888,1,0.995,0.86327,0.61613,0.32668,0.97505,0.000276597,0.000276597,0.000276597
train_npp_l2d0.02_l1d0.08_mask0.2_fpn16_19_22,327,7429.3,0.6349,0.40907,0.95479,0.99308,1,0.995,0.87503,0.61191,0.33014,0.98856,0.000321981,0.000321981,0.000321981
train_npp_l2d0.02_l1d0.08_mask0.3_fpn16_19_22,333,7472.33,0.62432,0.39871,0.97084,0.98822,0.99784,0.995,0.87669,0.58267,0.32046,0.96481,0.000297226,0.000297226,0.000297226
train_npp_l2d0.02_l1d0.0_mask0.1_fpn16_19_22,385,9054.48,0.57193,0.35732,0.9508,0.99378,0.98,0.99423,0.87324,0.59819,0.29565,0.96809,8.26832e-05,8.26832e-05,8.26832e-05
