epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.74324,2.3469,3.16904,0.0073583,0.00291913,1.64527,0.00225023,0.000225023,0.00225023,0.002,0.387567,2.73923,1.16415,0.0001,1e-05
2,6.87742,0.443071,2.3833,0.0067906,0.00276001,1.12521,1.60656e-05,3.21312e-06,1.60656e-05,0.00625,0.25305,1.75624,0.910605,0.0001,1e-05
3,10.0417,0.240908,1.57058,0.00616007,0.0025963,0.771178,0.000720072,0.000223287,0.000720072,0.046875,0.232889,1.0148,0.748568,0.0001,1e-05
4,13.2208,0.268535,0.956117,0.00583088,0.00247475,0.744175,0.00178938,0.000357893,0.00178938,0.078125,0.216766,0.585629,0.658191,0.0001,1e-05
5,16.5201,0.227682,0.593615,0.00538485,0.00232491,0.67536,0.0030932,0.000716915,0.0030932,0.11875,0.155251,0.380102,0.613149,0.0001,1e-05
6,19.8282,0.14971,0.389051,0.0051181,0.00220693,0.535117,0.00682511,0.00296857,0.00682511,0.20625,0.119097,0.328843,0.402228,0.0001,1e-05
7,23.172,0.169057,0.312413,0.00475302,0.00205924,0.535695,0.00426542,0.00135823,0.00426542,0.0875,0.151308,0.323022,0.530024,0.0001,1e-05
8,26.3886,0.197711,0.304767,0.00447023,0.00192485,0.614354,0.00456141,0.00197101,0.00456141,0.155125,0.10579,0.319537,0.394379,0.0001,1e-05
9,29.557,0.127573,0.308332,0.00433297,0.00182766,0.429261,0.00592526,0.0024251,0.00592526,0.292875,0.107037,0.323395,0.356376,0.0001,1e-05
10,32.8056,0.112352,0.305127,0.0040998,0.00169885,0.398749,0.00510643,0.00195928,0.00510643,0.233875,0.145008,0.327989,0.528229,0.0001,1e-05
11,35.9881,0.125219,0.319543,0.00382395,0.00156569,0.436334,0.00601599,0.00287885,0.00601599,0.388375,0.110448,0.31713,0.397678,0.0001,1e-05
12,39.2123,0.0915481,0.291157,0.00373792,0.00147997,0.361512,0.00480078,0.00321658,0.00480078,0.421,0.0853796,0.306775,0.341032,0.0001,1e-05
13,42.6215,0.0941206,0.279164,0.00352805,0.00138026,0.375087,0.00421268,0.00245122,0.00421268,0.394,0.0872424,0.299834,0.31626,0.0001,1e-05
14,45.8887,0.0826322,0.275047,0.0034328,0.00130598,0.306887,0.00486121,0.00289653,0.00486121,0.42025,0.10269,0.291426,0.360122,0.0001,1e-05
15,49.183,0.0852643,0.272462,0.00353893,0.00128842,0.302509,0.00555453,0.00354463,0.00555453,0.467125,0.0863894,0.28597,0.326033,0.0001,1e-05
16,52.406,0.0766616,0.267233,0.0033269,0.00119832,0.284925,0.00666318,0.00369998,0.00666318,0.483625,0.0673703,0.274404,0.269205,0.0001,1e-05
17,55.7634,0.0889169,0.259899,0.00322779,0.00114869,0.360135,0.00941983,0.00463577,0.00941983,0.43375,0.0844646,0.264714,0.306479,0.0001,1e-05
18,59.1733,0.0828946,0.247024,0.00316525,0.00110159,0.346596,0.0187083,0.00854062,0.0187083,0.40825,0.0871404,0.254643,0.329989,0.0001,1e-05
19,62.438,0.0732523,0.243263,0.00313876,0.00108131,0.288816,0.0217883,0.00999952,0.0217883,0.393125,0.0850039,0.244592,0.314286,0.0001,1e-05
20,65.767,0.0761678,0.236351,0.00306287,0.00103836,0.281219,0.020402,0.00994708,0.020402,0.45075,0.0734546,0.238448,0.278969,0.0001,1e-05
21,68.9731,0.0748476,0.23762,0.00295396,0.000992313,0.288378,0.0160813,0.0089482,0.0160813,0.474125,0.0874462,0.237841,0.301653,0.0001,1e-05
22,72.2023,0.0663641,0.228736,0.00274621,0.000922486,0.275094,0.0149108,0.0076346,0.0149108,0.47175,0.0852105,0.239552,0.295809,0.0001,1e-05
23,75.5025,0.0750671,0.248938,0.00279343,0.000929658,0.277272,0.037481,0.0178205,0.037481,0.51975,0.0670054,0.240863,0.26946,0.0001,1e-05
24,78.663,0.0703151,0.235701,0.00270388,0.000898506,0.27401,0.020786,0.0136267,0.020786,0.56425,0.0644563,0.236809,0.247615,0.0001,1e-05
25,82.0265,0.0605194,0.224594,0.00270159,0.00089808,0.243119,0.0328986,0.0239823,0.0328986,0.615375,0.0459994,0.230047,0.176271,0.0001,1e-05
26,85.4055,0.0683322,0.221829,0.00241812,0.000806086,0.255443,0.0284721,0.0176596,0.0284721,0.594875,0.0526745,0.227183,0.228942,0.0001,1e-05
27,88.678,0.0609523,0.222987,0.00259971,0.0008565,0.248133,0.0149499,0.0103716,0.0149499,0.6265,0.0444987,0.236563,0.207267,0.0001,1e-05
28,91.9793,0.060805,0.236773,0.00250901,0.000828028,0.21871,0.0121121,0.00863135,0.0121121,0.668,0.0414709,0.249304,0.160398,0.0001,1e-05
29,95.1676,0.0568748,0.236265,0.00245673,0.000812291,0.225757,0.0120684,0.00851214,0.0120684,0.591,0.0602179,0.244758,0.231678,0.0001,1e-05
30,98.5052,0.0635967,0.220258,0.0025743,0.000851294,0.244065,0.0119227,0.00801116,0.0119227,0.589,0.0532565,0.247667,0.223966,0.0001,1e-05
31,101.708,0.0601898,0.224803,0.00251333,0.000833481,0.22966,0.0115627,0.0069067,0.0115627,0.5455,0.0618468,0.248417,0.272996,0.0001,1e-05
32,104.974,0.0617633,0.231731,0.00246935,0.000820578,0.252801,0.0120458,0.0073446,0.0120458,0.58475,0.0532685,0.240706,0.218399,0.0001,1e-05
33,108.332,0.0739538,0.238375,0.00225577,0.000746573,0.282344,0.00964439,0.00454935,0.00964439,0.4415,0.0940724,0.242096,0.444291,0.0001,1e-05
34,111.651,0.096059,0.245134,0.00228957,0.000758757,0.387623,0.0102029,0.00487298,0.0102029,0.4355,0.09843,0.246943,0.397769,0.0001,1e-05
35,114.963,0.0711555,0.236903,0.00217837,0.000720545,0.284123,0.0094969,0.00580033,0.0094969,0.4965,0.0728289,0.242857,0.244206,0.0001,1e-05
36,118.387,0.0643867,0.234167,0.00230885,0.00075675,0.216324,0.00904635,0.00635172,0.00904635,0.51725,0.0467027,0.239109,0.207388,0.0001,1e-05
37,121.54,0.0790055,0.234818,0.00242181,0.00079147,0.259403,0.0103849,0.00692759,0.0103849,0.55675,0.0434358,0.240142,0.210824,0.0001,1e-05
38,124.859,0.0653902,0.237819,0.00234176,0.000766681,0.257459,0.00981273,0.00462864,0.00981273,0.39425,0.0975799,0.24027,0.432074,0.0001,1e-05
39,128.391,0.07841,0.223165,0.00213629,0.000702721,0.352949,0.0124084,0.00704208,0.0124084,0.505375,0.069909,0.236514,0.307344,0.0001,1e-05
40,131.793,0.0733961,0.223816,0.00219946,0.000723108,0.27554,0.0180448,0.0120191,0.0180448,0.595375,0.0475082,0.22867,0.211461,0.0001,1e-05
41,135.039,0.0588465,0.219386,0.00234178,0.000765072,0.245023,0.0292204,0.0194487,0.0292204,0.611875,0.0502938,0.224862,0.202831,0.0001,1e-05
42,138.443,0.0520305,0.223493,0.00208919,0.00069007,0.199207,0.0519833,0.0276822,0.0519833,0.611375,0.054904,0.228248,0.228286,0.0001,1e-05
43,141.84,0.0549934,0.224356,0.00223281,0.000733597,0.217437,0.0525114,0.0231951,0.0525114,0.65,0.0630055,0.232003,0.248274,0.0001,1e-05
44,145.084,0.048691,0.234548,0.00224184,0.000732899,0.19273,0.0549475,0.0363153,0.0549475,0.74,0.0440903,0.228979,0.170285,0.0001,1e-05
45,148.349,0.0525042,0.232719,0.00220511,0.000725112,0.212349,0.0559473,0.0390552,0.0559473,0.734625,0.0389716,0.224416,0.175503,0.0001,1e-05
46,151.705,0.0549209,0.234006,0.00203169,0.000668833,0.214518,0.0577734,0.0406415,0.0577734,0.74175,0.0370705,0.224705,0.154065,0.0001,1e-05
