epoch,time,train/loss_bbox,train/loss_ce,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,4.99511,1.50886,1.42696,1.36834,0.0200229,0.00405195,0.0200229,0.206,0.218498,0.729085,0.791481,0.0001,1e-05
2,9.44712,0.229837,0.537555,0.746074,0.0232245,0.0100696,0.0232245,0.274,0.166477,0.377671,0.5654,0.0001,1e-05
3,13.932,0.161362,0.348134,0.492041,0.00821205,0.00498005,0.00821205,0.376,0.0984509,0.322429,0.338253,0.0001,1e-05
4,18.6516,0.111505,0.304005,0.389856,0.00796683,0.00431335,0.00796683,0.37,0.103825,0.292934,0.370254,0.0001,1e-05
5,23.428,0.108117,0.287746,0.383922,0.0162596,0.0125585,0.0162596,0.396,0.0806241,0.288816,0.299101,0.0001,1e-05
6,28.2237,0.0974429,0.282037,0.333877,0.00609745,0.00335842,0.00609745,0.372,0.112031,0.282594,0.340822,0.0001,1e-05
7,33.0311,0.0750667,0.276728,0.275717,0.00580146,0.00372898,0.00580146,0.398,0.0783522,0.270134,0.307001,0.0001,1e-05
8,37.699,0.0854406,0.259654,0.300035,0.00856944,0.00552245,0.00856944,0.404,0.067285,0.255227,0.259559,0.0001,1e-05
9,42.3674,0.0798814,0.242834,0.288168,0.0396531,0.0203691,0.0396531,0.408,0.0762296,0.240556,0.259941,0.0001,1e-05
10,47.0963,0.0623349,0.238569,0.242418,0.00798987,0.00481959,0.00798987,0.352,0.128548,0.229478,0.395167,0.0001,1e-05
11,51.8448,0.120807,0.221779,0.337476,0.0375527,0.0222475,0.0375527,0.346,0.109302,0.21612,0.480024,0.0001,1e-05
12,56.5683,0.0839054,0.216319,0.302655,0.0692295,0.0284879,0.0692295,0.418,0.0721427,0.213439,0.239534,0.0001,1e-05
13,61.2384,0.079631,0.228618,0.268883,0.0497263,0.021871,0.0497263,0.422,0.0600328,0.226989,0.246137,0.0001,1e-05
14,65.9101,0.0612321,0.224014,0.22176,0.0588275,0.0261521,0.0588275,0.434,0.0599574,0.229257,0.263177,0.0001,1e-05
15,70.6764,0.0626214,0.2241,0.233826,0.0622019,0.0351739,0.0622019,0.61875,0.049347,0.219964,0.207766,0.0001,1e-05
16,75.2552,0.0622314,0.214942,0.23839,0.113143,0.05692,0.113143,0.7715,0.0594006,0.215435,0.247976,0.0001,1e-05
17,80.0536,0.06761,0.211627,0.250767,0.0956084,0.0613065,0.0956084,0.590625,0.0475244,0.202251,0.203851,0.0001,1e-05
18,84.8066,0.0592653,0.204442,0.209404,0.0946846,0.0617332,0.0946846,0.513875,0.0465377,0.198286,0.197254,0.0001,1e-05
19,89.7948,0.0612615,0.202467,0.223738,0.0914071,0.0542557,0.0914071,0.5665,0.0437325,0.193765,0.210256,0.0001,1e-05
20,94.4963,0.0586562,0.20995,0.214622,0.111961,0.0598639,0.111961,0.757875,0.0426825,0.213135,0.166056,0.0001,1e-05
21,99.3491,0.0696911,0.203751,0.229202,0.195807,0.126091,0.195807,0.850875,0.0398451,0.191194,0.177596,0.0001,1e-05
22,104.197,0.0620161,0.192837,0.246889,0.205775,0.116594,0.205775,0.799625,0.055528,0.183584,0.223715,0.0001,1e-05
23,109.09,0.0644034,0.19017,0.240469,0.219395,0.140907,0.219395,0.84525,0.0407298,0.184211,0.163288,0.0001,1e-05
24,114.031,0.0980925,0.194259,0.30348,0.237551,0.148838,0.237551,0.827625,0.0610442,0.187765,0.221403,0.0001,1e-05
25,118.803,0.0605587,0.195181,0.221862,0.288968,0.173976,0.288968,0.784,0.0525772,0.195987,0.228817,0.0001,1e-05
26,123.517,0.0567879,0.201307,0.216387,0.172932,0.106293,0.172932,0.848,0.0394962,0.197111,0.164336,0.0001,1e-05
27,128.336,0.0549627,0.196684,0.209949,0.130301,0.0834373,0.130301,0.8175,0.0444269,0.207094,0.1933,0.0001,1e-05
28,133.131,0.0526586,0.202223,0.213099,0.170379,0.0997414,0.170379,0.85,0.0391807,0.202084,0.1761,0.0001,1e-05
29,137.76,0.0525998,0.201537,0.19251,0.19005,0.118046,0.19005,0.816375,0.0558458,0.19737,0.214852,0.0001,1e-05
30,142.556,0.0497308,0.200195,0.182783,0.184446,0.122135,0.184446,0.861125,0.041362,0.191132,0.166513,0.0001,1e-05
31,147.292,0.0548363,0.203054,0.198852,0.182683,0.091363,0.182683,0.7775,0.0566135,0.198528,0.230935,0.0001,1e-05
32,152.117,0.0494637,0.201106,0.192205,0.169937,0.103556,0.169937,0.85575,0.039342,0.201482,0.167295,0.0001,1e-05
33,156.915,0.047481,0.207081,0.188421,0.223436,0.147049,0.223436,0.87475,0.0387956,0.201976,0.152371,0.0001,1e-05
34,161.826,0.0452899,0.202738,0.167364,0.263784,0.150668,0.263784,0.86,0.0436857,0.214496,0.164864,0.0001,1e-05
35,166.545,0.0480358,0.207042,0.18477,0.245748,0.14532,0.245748,0.84975,0.0419369,0.203365,0.17434,0.0001,1e-05
36,171.226,0.0476188,0.203224,0.182776,0.218077,0.119084,0.218077,0.833625,0.0565866,0.209332,0.207523,0.0001,1e-05
37,176.08,0.0460814,0.206062,0.170722,0.180048,0.0979355,0.180048,0.842625,0.0475224,0.202963,0.200719,0.0001,1e-05
38,180.885,0.0475583,0.203688,0.182138,0.151889,0.0892926,0.151889,0.877625,0.0334334,0.205049,0.146893,0.0001,1e-05
