epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
42,139.991,0.0427457,0.233527,0.00100069,0.173872,0.120122,0.0634437,0.120122,0.761625,0.0610513,0.224716,0.241032,0.0001,1e-05
43,143.368,0.0622324,0.225064,0.00105591,0.245212,0.18555,0.097171,0.18555,0.812875,0.0547015,0.217626,0.212777,0.0001,1e-05
44,146.722,0.0481082,0.218979,0.00103818,0.192014,0.162565,0.0813079,0.162565,0.77,0.0642274,0.215892,0.261949,0.0001,1e-05
45,149.999,0.0519944,0.217522,0.00102853,0.20132,0.131339,0.0742049,0.131339,0.8375,0.0456885,0.216748,0.192445,0.0001,1e-05
46,153.376,0.043095,0.221617,0.00105764,0.18356,0.126966,0.0686281,0.126966,0.86475,0.0396255,0.219332,0.167044,0.0001,1e-05
47,156.595,0.0509506,0.221153,0.00105674,0.211435,0.0864049,0.0415666,0.0864049,0.789875,0.048761,0.223567,0.204707,0.0001,1e-05
48,159.87,0.0479169,0.223389,0.00105212,0.188,0.0919364,0.0383883,0.0919364,0.777875,0.0543303,0.223549,0.21117,0.0001,1e-05
49,163.192,0.0464536,0.220338,0.0010925,0.179897,0.136999,0.0554177,0.136999,0.845375,0.0373448,0.221313,0.158145,0.0001,1e-05
50,166.547,0.0345026,0.223976,0.00100948,0.15368,0.15913,0.078447,0.15913,0.789875,0.0414983,0.220652,0.18877,0.0001,1e-05
51,169.999,0.0381125,0.222109,0.000982393,0.173082,0.20187,0.106808,0.20187,0.849625,0.0395023,0.220563,0.159618,0.0001,1e-05
52,173.201,0.0440577,0.222918,0.00107301,0.164588,0.261466,0.129937,0.261466,0.835125,0.0429943,0.219789,0.16814,0.0001,1e-05
53,176.487,0.0449005,0.225154,0.00100951,0.167888,0.245014,0.100341,0.245014,0.827125,0.0393652,0.224448,0.163677,0.0001,1e-05
54,179.795,0.0474744,0.224774,0.00104944,0.195595,0.0804581,0.0426386,0.0804581,0.77075,0.0587262,0.224351,0.214263,0.0001,1e-05
55,183.056,0.0460725,0.223096,0.000982408,0.195787,0.142594,0.0587572,0.142594,0.75725,0.0441917,0.222741,0.201785,0.0001,1e-05
56,186.484,0.0441494,0.221196,0.000931348,0.178181,0.14242,0.0772805,0.14242,0.81325,0.0381724,0.219924,0.164346,0.0001,1e-05
57,189.799,0.035703,0.22132,0.000958002,0.143167,0.12282,0.06511,0.12282,0.829125,0.0386093,0.220458,0.156759,0.0001,1e-05
58,193.131,0.0455439,0.217338,0.00093139,0.174703,0.119519,0.0441188,0.119519,0.701625,0.0583443,0.220592,0.248667,0.0001,1e-05
59,196.498,0.0443441,0.219569,0.000934145,0.176071,0.167757,0.0861127,0.167757,0.797125,0.0537114,0.215314,0.210669,0.0001,1e-05
60,199.755,0.0493875,0.214227,0.000961677,0.194884,0.195593,0.100295,0.195593,0.791,0.0521847,0.213187,0.209158,0.0001,1e-05
