epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_continuity_2d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.7719,2.34892,3.16779,0.00735813,0.000997701,1.64461,0,0,0,0,0.435517,2.6754,1.30702,0.0001,1e-05
2,6.95721,0.49077,2.39274,0.00676982,0.000961539,1.20057,1.67166e-05,1.67166e-06,1.67166e-05,0.003125,0.272451,1.96625,0.969258,0.0001,1e-05
3,10.1594,0.266998,1.68817,0.00618025,0.00091702,0.830248,0.00100705,0.000389632,0.00100705,0.125,0.165363,1.12691,0.528461,0.0001,1e-05
4,13.3613,0.202351,0.955941,0.00584615,0.000898991,0.622985,0.00122326,0.000302904,0.00122326,0.078125,0.238164,0.581821,0.693633,0.0001,1e-05
5,16.6845,0.237023,0.573928,0.00534411,0.000859691,0.676739,0.0040697,0.00114811,0.0040697,0.125,0.155296,0.402917,0.562147,0.0001,1e-05
6,20.0346,0.161674,0.40308,0.00504422,0.000828967,0.580446,0.00474134,0.00196239,0.00474134,0.21875,0.148009,0.343153,0.486907,0.0001,1e-05
7,23.3668,0.188388,0.327883,0.0046643,0.000790504,0.562844,0.00556508,0.00233334,0.00556508,0.24375,0.130931,0.327241,0.449466,0.0001,1e-05
8,26.62,0.236323,0.311481,0.00440345,0.000760928,0.583792,0.00581132,0.00208808,0.00581132,0.206125,0.129459,0.323604,0.481235,0.0001,1e-05
9,29.8033,0.145385,0.308866,0.00430883,0.000739401,0.469894,0.00853263,0.00460196,0.00853263,0.423625,0.074569,0.316798,0.282505,0.0001,1e-05
10,33.1073,0.0978512,0.298807,0.00410914,0.000713472,0.361795,0.00685125,0.00389553,0.00685125,0.47325,0.0788538,0.312134,0.289035,0.0001,1e-05
11,36.2981,0.0944219,0.30254,0.00383544,0.000672979,0.335006,0.0067409,0.00375954,0.0067409,0.498125,0.0832495,0.30608,0.295682,0.0001,1e-05
12,39.6214,0.112365,0.293989,0.00371771,0.000649481,0.370695,0.0064496,0.00362669,0.0064496,0.485,0.0788057,0.302016,0.251411,0.0001,1e-05
