epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
41,131.607,0.0539744,0.23313,0.000383943,0.226847,0.0568981,0.0324225,0.0568981,0.794375,0.0471791,0.235021,0.194139,0.0001,1e-05
42,134.875,0.0580666,0.233409,0.000350902,0.187239,0.0584038,0.0345059,0.0584038,0.781875,0.0508505,0.229869,0.229175,0.0001,1e-05
43,138.112,0.0436773,0.229966,0.00036353,0.177338,0.061749,0.0349501,0.061749,0.82225,0.0438336,0.232236,0.172691,0.0001,1e-05
44,141.361,0.0414163,0.230023,0.000350883,0.161527,0.0570944,0.0349545,0.0570944,0.804375,0.0418847,0.228236,0.178504,0.0001,1e-05
45,144.507,0.0530997,0.225103,0.00034334,0.193116,0.052875,0.0297596,0.052875,0.7405,0.0522864,0.227797,0.221354,0.0001,1e-05
46,147.82,0.0477452,0.228019,0.000353911,0.196643,0.0501351,0.034438,0.0501351,0.7585,0.0508007,0.22643,0.222997,0.0001,1e-05
47,150.901,0.0456054,0.227167,0.000351434,0.192507,0.0508047,0.0386822,0.0508047,0.86925,0.0352127,0.222128,0.14208,0.0001,1e-05
48,154.058,0.0454377,0.228782,0.000347004,0.172025,0.0560254,0.0389408,0.0560254,0.829125,0.036997,0.222889,0.161454,0.0001,1e-05
49,157.27,0.0458965,0.226718,0.000357335,0.164516,0.0587578,0.0372049,0.0587578,0.79425,0.0582283,0.222976,0.212664,0.0001,1e-05
50,160.535,0.0606007,0.225374,0.000333652,0.234324,0.0586562,0.0347431,0.0586562,0.760625,0.0484057,0.220925,0.228694,0.0001,1e-05
51,163.849,0.0494111,0.219898,0.000326812,0.226714,0.0639592,0.0326971,0.0639592,0.78475,0.0433999,0.221464,0.177561,0.0001,1e-05
52,166.933,0.061938,0.223025,0.000355589,0.261595,0.0621158,0.0422182,0.0621158,0.814875,0.0423767,0.22029,0.177875,0.0001,1e-05
53,170.138,0.0432575,0.2238,0.00033747,0.183559,0.0710963,0.0418065,0.0710963,0.7975,0.0404258,0.222292,0.16369,0.0001,1e-05
54,173.304,0.0442178,0.226706,0.000353989,0.189069,0.0627439,0.0356585,0.0627439,0.7315,0.0460711,0.221957,0.206445,0.0001,1e-05
55,176.434,0.0526612,0.223098,0.000335098,0.228095,0.0664402,0.0350754,0.0664402,0.7295,0.0544318,0.221443,0.223565,0.0001,1e-05
56,179.751,0.0440537,0.221409,0.000319852,0.18894,0.0702515,0.0482038,0.0702515,0.82,0.0363813,0.220828,0.144692,0.0001,1e-05
57,182.924,0.0395103,0.223904,0.000326914,0.153271,0.0762847,0.0484168,0.0762847,0.814,0.0419004,0.219765,0.169541,0.0001,1e-05
58,186.118,0.0431835,0.220616,0.000322924,0.158953,0.0906636,0.0601549,0.0906636,0.79375,0.0529966,0.21501,0.215714,0.0001,1e-05
59,189.408,0.0594874,0.221995,0.000323331,0.239427,0.0866339,0.0597652,0.0866339,0.75225,0.0567555,0.214242,0.240972,0.0001,1e-05
60,192.543,0.0580723,0.21985,0.00033267,0.239444,0.0626806,0.0418594,0.0626806,0.775875,0.0504175,0.214995,0.22759,0.0001,1e-05
61,195.777,0.0583279,0.212657,0.00031151,0.222348,0.0563604,0.0367573,0.0563604,0.80525,0.0428269,0.214084,0.186379,0.0001,1e-05
62,198.953,0.0416662,0.219406,0.000337753,0.158661,0.0559056,0.0408638,0.0559056,0.87775,0.0312892,0.215646,0.137897,0.0001,1e-05
63,202.153,0.0509232,0.213458,0.000324986,0.185399,0.0531294,0.0339653,0.0531294,0.784625,0.0408333,0.218482,0.165715,0.0001,1e-05
64,205.293,0.0398873,0.217012,0.000342734,0.173136,0.048071,0.026249,0.048071,0.71525,0.0561758,0.21752,0.237456,0.0001,1e-05
65,208.49,0.0493244,0.224433,0.000317922,0.192666,0.047713,0.0325483,0.047713,0.79725,0.0388754,0.216876,0.170337,0.0001,1e-05
66,211.932,0.0453993,0.219912,0.000297791,0.189658,0.0490802,0.0336787,0.0490802,0.751375,0.051928,0.215539,0.22035,0.0001,1e-05
