experiment_name,epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
train_npp_l2d0.02_l1d0.02_mask0.1_fpn16_19_22,400,9813.04,0.9075,0.47253,1.72509,0.97868,0.98883,0.995,0.8676,1.20587,0.51525,1.93896,2.07958e-05,2.07958e-05,2.07958e-05
train_npp_l2d0.02_l1d0.02_mask0.2_fpn16_19_22,355,8710.42,1.28609,0.76267,1.81869,0.97188,0.9969,0.99423,0.867,1.16141,0.54238,1.91809,0.000206458,0.000206458,0.000206458
train_npp_l2d0.02_l1d0.02_mask0.3_fpn16_19_22,362,8855.62,1.41158,0.85022,1.92348,0.99666,0.99736,0.995,0.86872,1.20599,0.55705,1.90418,0.000177577,0.000177577,0.000177577
train_npp_l2d0.02_l1d0.04_mask0.1_fpn16_19_22,397,9725.3,0.92596,0.49182,1.71169,0.93381,0.99494,0.99286,0.86776,1.23174,0.54038,1.92934,3.31733e-05,3.31733e-05,3.31733e-05
train_npp_l2d0.02_l1d0.04_mask0.2_fpn16_19_22,327,8025.49,1.34475,0.83235,1.83561,0.99646,1,0.995,0.87961,1.18871,0.50478,1.90388,0.000321981,0.000321981,0.000321981
train_npp_l2d0.02_l1d0.04_mask0.3_fpn16_19_22,273,6710.54,1.50302,0.92381,1.94978,0.94629,0.99648,0.995,0.87526,1.20242,0.61104,1.93191,0.000544776,0.000544776,0.000544776
train_npp_l2d0.02_l1d0.06_mask0.1_fpn16_19_22,347,8522.88,1.27373,0.70531,1.77078,0.98362,0.94592,0.98878,0.86427,1.21854,0.5601,1.91579,0.000239465,0.000239465,0.000239465
train_npp_l2d0.02_l1d0.06_mask0.2_fpn16_19_22,341,8345.39,1.26731,0.65985,1.77207,0.96656,0.96479,0.99167,0.87197,1.14129,0.58521,1.88903,0.00026422,0.00026422,0.00026422
train_npp_l2d0.02_l1d0.06_mask0.3_fpn16_19_22,327,8041.41,1.34658,0.84893,1.83261,0.9944,0.99598,0.995,0.86318,1.19176,0.54118,1.92908,0.000321981,0.000321981,0.000321981
train_npp_l2d0.02_l1d0.08_mask0.1_fpn16_19_22,336,8227.62,1.46689,0.88102,1.83737,0.96235,0.99548,0.995,0.85866,1.23377,0.56001,1.9236,0.000284849,0.000284849,0.000284849
train_npp_l2d0.02_l1d0.08_mask0.2_fpn16_19_22,294,7173.05,1.45418,0.7887,1.82874,0.91595,1,0.98902,0.86561,1.22741,0.58768,1.92643,0.000458133,0.000458133,0.000458133
train_npp_l2d0.02_l1d0.08_mask0.3_fpn16_19_22,324,7931.66,1.37367,0.78868,1.84892,0.88623,0.96875,0.98012,0.86601,1.20054,0.5841,1.90016,0.000334359,0.000334359,0.000334359
train_npp_l2d0.02_l1d0.0_mask0.1_fpn16_19_22,346,8509.04,1.34623,0.79749,1.86118,0.97512,1,0.99423,0.8707,1.20185,0.54274,1.90461,0.00024359,0.00024359,0.00024359
train_npp_l2d0.02_l1d0.0_mask0.2_fpn16_19_22,390,9571.77,1.24267,0.72906,1.76396,0.93011,0.97676,0.98717,0.86815,1.22479,0.57892,1.89705,6.20541e-05,6.20541e-05,6.20541e-05
train_npp_l2d0.02_l1d0.0_mask0.3_fpn16_19_22,363,8920.32,1.28795,0.81102,1.81149,0.97653,0.98543,0.99423,0.87557,1.21239,0.50018,1.92043,0.000173451,0.000173451,0.000173451
train_npp_l2d0.04_l1d0.02_mask0.1_fpn16_19_22,320,7874.11,1.40212,0.79354,1.83557,0.98066,0.98622,0.99423,0.86379,1.1889,0.54131,1.90376,0.000350862,0.000350862,0.000350862
train_npp_l2d0.04_l1d0.02_mask0.2_fpn16_19_22,329,8071.72,1.35092,0.73032,1.79645,0.97404,0.99295,0.99423,0.86259,1.20678,0.55722,1.93484,0.000313729,0.000313729,0.000313729
train_npp_l2d0.04_l1d0.02_mask0.3_fpn16_19_22,240,5908.33,1.44233,0.92104,1.7956,0.97822,0.98,0.99286,0.86768,1.20282,0.57675,1.93012,0.000680928,0.000680928,0.000680928
train_npp_l2d0.04_l1d0.04_mask0.1_fpn16_19_22,216,5305.43,1.67739,1.04163,1.92504,0.96283,0.89819,0.97326,0.85611,1.22089,0.72824,1.91986,0.000779948,0.000779948,0.000779948
train_npp_l2d0.04_l1d0.04_mask0.2_fpn16_19_22,385,9434.84,1.15977,0.6601,1.79547,0.99513,0.94811,0.99026,0.87184,1.20408,0.5508,1.91097,8.26832e-05,8.26832e-05,8.26832e-05
train_npp_l2d0.04_l1d0.04_mask0.3_fpn16_19_22,382,9380.61,1.31885,0.75216,1.82227,0.94567,0.92875,0.98825,0.86994,1.20216,0.6001,1.92673,9.50607e-05,9.50607e-05,9.50607e-05
train_npp_l2d0.04_l1d0.06_mask0.1_fpn16_19_22,309,7589.79,1.46391,0.87248,1.83077,0.94463,0.99284,0.995,0.84754,1.24375,0.59714,1.91191,0.000396246,0.000396246,0.000396246
