epoch,time,train/loss_bbox,train/loss_ce,train/loss_continuity_1d,train/loss_giou,metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(B),metrics/recall(B),val/loss_bbox,val/loss_ce,val/loss_giou,lr/pg0,lr/pg1
1,3.73537,2.43252,1.76157,0.00338095,1.81147,0,0,0,0,0.564328,1.34447,1.34467,0.0001,1e-05
2,6.96688,0.555991,1.24,0.00315192,1.28004,0,0,0,0,0.248084,1.01552,0.843073,0.0001,1e-05
3,9.97989,0.242912,0.865502,0.00301368,0.756155,0,0,0,0,0.202242,0.616175,0.734387,0.0001,1e-05
4,13.0462,0.236855,0.541373,0.00281764,0.714287,0,0,0,0,0.146287,0.426782,0.463484,0.0001,1e-05
5,16.358,0.163324,0.427976,0.00257847,0.501895,0,0,0,0,0.115289,0.398759,0.397227,0.0001,1e-05
6,19.4499,0.11999,0.405832,0.00241871,0.388637,0,0,0,0,0.128151,0.370447,0.453709,0.0001,1e-05
7,22.6749,0.137495,0.362537,0.00223577,0.480347,9.46816e-05,2.84045e-05,9.46816e-05,0.009375,0.107651,0.354721,0.4099,0.0001,1e-05
8,25.7454,0.123276,0.341501,0.00216958,0.408034,0.000247105,0.00012165,0.000247105,0.034375,0.0930509,0.336135,0.354652,0.0001,1e-05
9,28.7652,0.1045,0.322543,0.00213704,0.362256,0.00202442,0.000761109,0.00202442,0.1,0.0842223,0.323748,0.311341,0.0001,1e-05
10,31.9785,0.0908013,0.31109,0.00199638,0.327623,0.0104627,0.00523196,0.0104627,0.265625,0.0784012,0.314545,0.30596,0.0001,1e-05
11,35.352,0.0970715,0.306669,0.00184021,0.327439,0.101104,0.0424011,0.101104,0.476,0.0772547,0.308115,0.295071,0.0001,1e-05
12,38.7676,0.0976116,0.290171,0.00182721,0.338311,0.0427864,0.0250564,0.0427864,0.620125,0.0806654,0.30773,0.310003,0.0001,1e-05
13,42.0062,0.101007,0.287914,0.00173502,0.313871,0.0379306,0.0226734,0.0379306,0.679875,0.0724039,0.303234,0.279659,0.0001,1e-05
14,45.2481,0.0773267,0.296403,0.00172437,0.266333,0.0248958,0.0151417,0.0248958,0.69325,0.078146,0.300836,0.285255,0.0001,1e-05
